no,date,people,points
1,2015/1/31,779,886
2,2015/2/7,779,818
3,2015/2/20,849,808
4,2015/2/27,1187,735
5,2015/3/20,1620,481
7,2015/3/27,1637,453
7,2015/4/10,925,469
8,2015/4/17,751,453
9,2015/5/22,1361,755
10,2015/6/13,1051,482
11,2015/6/27,1575,469
12,2015/7/11,1563,463
13,2015/7/18,1581,451
14,2015/8/8,1402,471
15,2015/8/21,1523,456
16,2015/9/8,1517,459
17,2015/9/18,1545,450
18,2015/10/2,1530,450
19,2015/10/23,1502,489
20,2015/11/13,1506,484
21,2015/11/28,1559,472
22,2015/12/4,1451,461
23,2015/12/18,1503,460
<b>TOTALL</b>:,30696,<b>MIN</b>:,450
