Occupation,Description,Ceiling,Used
2613,Software and Applications Programmers,5364,447
2212,"Auditors, Company Secretaries and Corporate Treasurers",1000,299
2544,Registered Nurses,13872,284
2211,Accountants,2525,210
2631,Computer Network Professionals,1986,164
2611,ICT Business and Systems Analysts,1536,128
2335,"Industrial, Mechanical and Production Engineers",1788,119
2339,Other Engineering Professionals,1000,84
2332,Civil Engineering Professionals,2970,76
2334,Electronics Engineers,1000,50
2333,Electrical Engineers,1230,44
2633,Telecommunications Engineering Professionals,1000,41
2331,Chemical and Materials Engineers,1000,35
2414,Secondary School Teachers,8352,33
2539,Other Medical Practitioners,1000,32
2531,General Practitioners and Resident Medical officers,3558,27
2321,Architects and Landscape Architects,1650,25
3212,Motor Mechanics,6108,20
2525,Physiotherapists,1104,17
3312,Carpenters and Joiners,7290,15
2725,Social Workers,2166,13
2336,Mining Engineers,1000,12
2512,Medical Imaging Professionals,1092,12
2713,Solicitors,3252,12
2411,Early Childhood (Pre-primary School) Teachers,1980,11
3411,Electricians,8772,11
2346,Medical Laboratory Scientists,1362,10
3341,Plumbers,5130,10
3513,Chefs,2475,10
2723,Psychologists,1212,9
1331,Construction Managers,5640,8
2322,Cartographers and Surveyors,1000,8
2341,Agricultural and Forestry Scientists,1000,7
3423,Electronics Trades Workers,2076,7
2241,"Actuaries, Mathematicians and Statisticians",1000,6
2524,Occupational Therapists,1000,6
2527,Speech Professionals and Audiologists,1000,6
3122,Civil Engineering Draftspersons and Technicians,1000,6
2347,Veterinarians,1000,5
2513,Occupational and Environmental Health Professionals,1578,5
3311,Bricklayers and Stonemasons,1656,5
2533,Internal Medicine Specialists,1000,4
3322,Painting Trades Workers,2802,4
1341,Child Care Centre Managers,1000,3
1342,Health and Welfare Services Managers,1410,3
2312,Marine Transport Professionals,1000,3
2521,Chiropractors and Osteopaths,1000,3
2526,Podiatrists,1000,3
2534,Psychiatrists,1000,3
3223,Structural Steel and Welding Trades Workers,4416,3
3232,Metal Fitters and Machinists,8070,3
4112,"Dental Hygienists, Technicians and Therapists",1000,3
2245,Land Economists and Valuers,1000,2
2532,Anaesthetists,1000,2
3421,Airconditioning and Refrigeration Mechanics,1038,2
3422,Electrical Distribution Trades Workers,1000,2
1332,Engineering Managers,1014,1
2349,Other Natural and Physical Science Professionals,1000,1
2415,Special Education Teachers,1158,1
2514,Optometrists and Orthoptists,1000,1
2535,Surgeons,1000,1
3123,Electrical Engineering Draftspersons and Technicians,1000,1
3211,Automotive Electricians,1000,1
3332,Plasterers,1866,1
1335,Production Managers,3582,0
2541,Midwives,1000,0
2711,Barristers,1000,0
3132,Telecommunications Technical Specialists,1000,0
3222,Sheetmetal Trades Workers,1000,0
3233,Precision Metal Trades Workers,1000,0
3241,Panelbeaters,1134,0
3331,Glaziers,1000,0
3334,Wall and Floor Tilers,1284,0
3991,Boat Builders and Shipwrights,1000,0
3941,Cabinetmakers,1530,0
