Occupation,Description-flyabroad,Ceiling,Used
2613,Software and Applications Programmers,5364,894
2212,"Auditors, Company Secretaries and Corporate Treasurers",1000,610
2544,Registered Nurses,13872,510
2211,Accountants,2525,420
2631,Computer Network Professionals,1986,304
2611,ICT Business and Systems Analysts,1536,256
2335,"Industrial, Mechanical and Production Engineers",1788,229
2332,Civil Engineering Professionals,2970,171
2339,Other Engineering Professionals,1000,171
2334,Electronics Engineers,1000,119
2333,Electrical Engineers,1230,88
2633,Telecommunications Engineering Professionals,1000,83
2414,Secondary School Teachers,8352,80
2331,Chemical and Materials Engineers,1000,72
2539,Other Medical Practitioners,1000,64
2531,General Practitioners and Resident Medical officers,3558,55
2321,Architects and Landscape Architects,1650,46
3312,Carpenters and Joiners,7290,38
3212,Motor Mechanics,6108,34
2713,Solicitors,3252,31
3411,Electricians,8772,31
2525,Physiotherapists,1104,29
2336,Mining Engineers,1000,26
2411,Early Childhood (Pre-primary School) Teachers,1980,25
3513,Chefs,2475,25
2512,Medical Imaging Professionals,1092,24
2725,Social Workers,2166,23
2341,Agricultural and Forestry Scientists,1000,21
2346,Medical Laboratory Scientists,1362,18
3341,Plumbers,5130,17
1331,Construction Managers,5640,14
2513,Occupational and Environmental Health Professionals,1578,14
2723,Psychologists,1212,14
2322,Cartographers and Surveyors,1000,11
2347,Veterinarians,1000,11
3122,Civil Engineering Draftspersons and Technicians,1000,11
3311,Bricklayers and Stonemasons,1656,11
2524,Occupational Therapists,1000,10
2527,Speech Professionals and Audiologists,1000,10
2534,Psychiatrists,1000,10
3423,Electronics Trades Workers,2076,10
1342,Health and Welfare Services Managers,1410,9
2312,Marine Transport Professionals,1000,8
3232,Metal Fitters and Machinists,8070,8
2241,"Actuaries, Mathematicians and Statisticians",1000,7
2533,Internal Medicine Specialists,1000,7
3223,Structural Steel and Welding Trades Workers,4416,7
4112,"Dental Hygienists, Technicians and Therapists",1000,7
2526,Podiatrists,1000,6
2532,Anaesthetists,1000,6
3322,Painting Trades Workers,2802,6
1332,Engineering Managers,1014,5
2535,Surgeons,1000,5
1341,Child Care Centre Managers,1000,4
2245,Land Economists and Valuers,1000,4
2349,Other Natural and Physical Science Professionals,1000,4
2521,Chiropractors and Osteopaths,1000,4
3421,Airconditioning and Refrigeration Mechanics,1038,4
2415,Special Education Teachers,1158,3
3422,Electrical Distribution Trades Workers,1000,3
2514,Optometrists and Orthoptists,1000,2
2541,Midwives,1000,2
3132,Telecommunications Technical Specialists,1000,2
3211,Automotive Electricians,1000,2
3334,Wall and Floor Tilers,1284,2
3123,Electrical Engineering Draftspersons and Technicians,1000,1
3233,Precision Metal Trades Workers,1000,1
3332,Plasterers,1866,1
1335,Production Managers,3582,0
2711,Barristers,1000,0
3222,Sheetmetal Trades Workers,1000,0
3241,Panelbeaters,1134,0
3331,Glaziers,1000,0
3941,Cabinetmakers,1530,0
3991,Boat Builders and Shipwrights,1000,0
