company,web
Absolutevalue Systems Inc ,http://www.linux-wlan.com/
"Accent Technologies, Inc ",http://www.accent-technologies.com/
American Presence Inc ,http://www.american-presence.com
Audio Video Design Inc ,http://www.avd-prompt.com/
Avdat Inc ,http://www.avdata.com.au/
Bit By Bit Computer Systems ,
"Cadence Design Systems, Inc ",http://www.cadence.com/
"Cma Ettworth, Inc ",http://www.cmaettworth.com
Community Software Acquisition ,
Compass Software Inc ,http://www.compass-software.net/
"Computer Telephony Systems, Inc ",
Cs Solutions Inc ,http://cssolutionsinc.com/
Custom Computer Solutions ,http://www.ccs-inc.com/computer-solutions/custom
David Lewis & Assoc Software P ,http://www.davidlewis.com/
David Lewis & Associates Inc ,http://www.davidlewis.com/
Davinci's Computer Corp ,http://www.davcorp.net/
Direct Hit Systems Inc ,http://www.directhitinc.com/
Embed Software Inc ,http://www.embedinc.com/
"Execusys, Inc ",http://www.execusys.com/
"Fyi Visual, Inc ",http://www.bloomberg.com/profiles/companies/7605163Z:US-fyi-visual-inc
"Ge Energy Management Services, Inc ",http://www.ge.com/au/
"Ge Harris Energy Control Systems, Llc ",
Global Graphics Software Inc ,http://www.globalgraphics.com/
Graphx Engineering Inc ,http://www.e-graphicsinc.com/
Greenhills Software ,http://www.ghs.com/corporate/
"Groome Technologies, Llc ",http://groometechnologies.com/
Harbor City Software ,http://groometechnologies.com/
Harris Stratex Networks Operating Corporation ,http://www.harris.com
Harris Technical Services Corp ,
"Harris-Exigent, Inc ",http://www.bloomberg.com/profiles/companies/XGNT:US-harris-exigent-inc
High Point Trade ,http://www.highpointmarket.org/
I Denali Software Inc ,
Iconic Systems ,http://www.iconicsystems.com/
Innoapp Llc ,http://www.innoapp.com/
"Intelligence Data Systems, Inc ",http://www.intelligentdata.com/
"Intellinet Technologies, Inc ",http://www.intellinet-tech.com/
Isc Electonic Systems Inc ,http://www.iscelectronicsystems.com/
Ixtlan Designs ,http://ixtlandesigns.com/
Logan Industries Inc ,http://www.loganindustries.com/
"Mediaspan Group, Inc ",http://www.mediaspansoftware.com/
Metsys Llc ,http://www.salespider.com/b-161298836/metsys-llc
Need Corp ,
Netpartners Llc ,
"Networked Solutions, Inc ",http://www.networksolutions.com/
"Novell, Inc ",http://www.novell.com/home/
"Nuance Communications, Inc ",http://www.nuance.com/index.htm
"Open Systems International, Inc ",http://www.osii.com/
Pangaea Systems Inc ,http://www.pangaeasystems.com/
Parametric Technology Corporation ,http://www.ptc.com/
Paramount Software ,http://www.paramountsoftware.com.au/
Peredur Systems ,http://www.peredur.com/
"Perii, Inc ",
Precision Lightworks Llc ,http://www.precisionlightworks.com/
Prepress Systems Solutions Inc ,http://www.prepress-systems.com/
"Profound Learning Systems, Llc ",http://Profoundlearning.com
Proware ,http://www.proware.com.cn/
Psychometric Software ,http://www.psipsych.com/
Rapid Response Reporting ,http://www.rrreporting.co.uk/
Real Easy Software Solution ,http://www.realeasy.com/
"Real Time Integration, Inc ",http://www.rtiww.com/
Retisoft Inc ,http://www.retisoft.ca/
Riversoft Inc ,http://www.riversoft.net/
Roskind Software ,http://www.manta.com/c/mmn5n6y/roskind-software
Sarro Technology ,http://www.buzzfile.com/business/Sarro-Technology-321-604-9515
Science Applications International Corporation ,http://www.saic.com/
"Science Horizons, Inc ",http://www.horizon.com/
Securboration Inc ,http://www.securboration.com/
"Smart Retail Systems, Inc ",http://www.smartretail.co.za/
"Software Ag, Inc ",http://www.softwareag.com/corporate/default.asp
Software Innovations Inc ,http://www.sinnovations.com/
Space Coast Information Systems Inc ,http://www.spacecoastis.com/
Spacecoast Software Enterprises Inc ,http://spacecoastsoftware.com/
Squires Engineering Inc ,http://www.squires-eng.com/
Sri Pmd Inc ,http://listings.findthecompany.com/l/11206345/SRI-Pmd-Inc-in-Melbourne-FL
Tele Pro Systems Inc ,http://tpsiai.com/
The Siena Group Llc ,http://www.thesiennagroup.com/
The Truckers Helpers Llc ,http://www.truckershelper.com/
Transom Software ,http://www.transum.org/software/
Vx Corporation ,http://www.avx.com/spiapps/
Wavecrest Computing Inc ,http://www.wavecrest.net/
"Wind River Systems, Inc ",http://www.windriver.com/
Xcelsoft Inc ,http://www.xcelsoftinc.com/
