company,web
Absolute Projects,http://www.absoluteprojects.com
"AbundanceNet	",http://www.abundancenet.com
"Acceledata Computer Technologies	",http://www.acceledata.com
ACM Automation Inc.,http://www.acm.ab.ca
"Acrodex	",http://www.acrodex.com
"Advantcomp Inc	",http://advantcomp.com/
"Alberta Research Council Inc	",http://www.albertatechfutures.ca/
"Allegro Development Corporation	",http://www.allegrodev.com/
"Amenaza Technologies Limited	",http://www.amenaza.com/
"Apro Software	",http://www.aprosoftware.com/
"Arachne Prime Inc.	",http://www.arachneprime.com/
"ARC Business Solutions Inc	",http://www.arcbus.com/
"Astron Technologies Inc	",http://www.astron-tech.com/
"Auto Profile	",http://www.autoprofiles.co.in/
"Auto~Star Compusystems Inc	",http://www.auto-star.com/
"AutoProfile Systems Corp	",
"AVERA Systems Inc.	",http://www.avera.ca/
"Avitrax Web Design Ltd	",http://avitrax.com/
"Axia NetMedia Corporation	",http://www.axia.com/
"Beef Information Centre	",http://www.beefinfo.org/
"Betach Solutions Inc	",http://www.betach.com/Pages/2015BitTitanAward.aspx
"Blackbird Software Design Ltd	",http://www.blackbirdsoftware.com/
"Bramm Technologies Inc.	",http://www.brammtech.com/
"C-Byte Inc	",http://www.c-byte.com/
"Call Genie Inc.	",http://www.callgenie.ca/
"Cardiff Systems Inc	",
"Cathexis Innovations Inc.	",http://www.cathexis.com/
"Celcorp	",http://www.celcorp.com.br/
"Challenger Geomatics Ltd	",http://www.challengergeomatics.com/
"Chronologic Systems Ltd.	",http://www.chronologic.co.uk
"CipherSoft Inc	",http://www.ciphersoftinc.com/
"Circuits Consulting Services Inc	",http://www.circuits.net/
"CL Tools Inc.	",
"Claero Systems	",http://claero.com/
"ClearStream Consulting Inc	",http://www.goloskygroup.com/
"CLINICARE Corporation	",http://www.collaborativelearning.org
"Collaborative Learning Network Inc	",http://www.collaborativelearning.org
"Compu-Creations	",http://www.compu-creations.com
"Computer Modelling Group Ltd.	",http://www.cmgl.ca/
"Computronix Holdings Ltd.	",http://www.computronix.com/
"Concillio Inc	",
"Cornerstone Graphic Systems Inc	",http://www.caddeveloper.com/
"Cornwall Partners Limited	",http://www.cornwallpartners.com/
"Corvid Development Inc	",http://www.corviddevelopment.com
"Cquay Inc.	",
"CRCS Inc	",
"Crocus Plains Software Ltd	",http://www.crocusplains.com/
"CSD Technologies Inc	",http://www.csdtechnologiesinc.com/
"CSI Wireless Inc.	",http://www.csi-wireless.com/
"CSM Systems Inc	",
"Cyber Works	",http://www.cybergb.com/
"Cyberdex Systems Consulting Corp.	",http://www.cyberdex.ca/
