company
"<a href=""http://www.absoluteprojects.com"" target=""_blank"">Absolute Projects	</a>"
"<a href=""http://www.abundancenet.com"" target=""_blank"">AbundanceNet	</a>"
"<a href=""http://www.acceledata.com"" target=""_blank"">Acceledata Computer Technologies</a>"
"<a href=""http://www.acm.ab.ca"" target=""_blank"">ACM Automation Inc.	</a>"
"<a href=""http://www.acrodex.com"" target=""_blank"">Acrodex	</a>"
"<a href=""http://advantcomp.com/"" target=""_blank"">Advantcomp Inc	</a>"
"<a href=""http://www.albertatechfutures.ca/"" target=""_blank"">Alberta Research Council Inc	</a>"
"<a href=""http://www.allegrodev.com/"" target=""_blank"">Allegro Development Corporation	</a>"
"<a href=""http://www.amenaza.com/"" target=""_blank"">Amenaza Technologies Limited	</a>"
"<a href=""http://www.aprosoftware.com/"" target=""_blank"">Apro Software	</a>"
"<a href=""http://www.arachneprime.com/"" target=""_blank"">Arachne Prime Inc.	</a>"
"<a href=""http://www.arcbus.com/"" target=""_blank"">ARC Business Solutions Inc	</a>"
"<a href=""http://www.astron-tech.com/"" target=""_blank"">Astron Technologies Inc	</a>"
"<a href=""http://www.autoprofiles.co.in/"" target=""_blank"">Auto Profile	</a>"
"<a href=""http://www.auto-star.com/"" target=""_blank"">Auto~Star Compusystems Inc	</a>"
"<a href=""web"" target=""_blank"">AutoProfile Systems Corp	</a>"
"<a href=""http://www.avera.ca/"" target=""_blank"">AVERA Systems Inc.	</a>"
"<a href=""http://avitrax.com/"" target=""_blank"">Avitrax Web Design Ltd	</a>"
"<a href=""http://www.axia.com/"" target=""_blank"">Axia NetMedia Corporation	</a>"
"<a href=""http://www.beefinfo.org/"" target=""_blank"">Beef Information Centre	</a>"
"<a href=""http://www.betach.com/Pages/2015BitTitanAward.aspx"" target=""_blank"">Betach Solutions Inc	</a>"
"<a href=""http://www.blackbirdsoftware.com/"" target=""_blank"">Blackbird Software Design Ltd	</a>"
"<a href=""http://www.brammtech.com/"" target=""_blank"">Bramm Technologies Inc.	</a>"
