company,web
51st State Systems Inc. ,http://www.51ststatesystems.com
Absolute Software Corporation ,http://www.absolute.com/
ACCPAC International Inc ,http://www.accpac.com/
Accuzone Systems Corp ,http://www.accuzone.com
ACD Systems International Inc. ,http://www.acdsee.com/
Acro Media Inc. ,http://www.acdsee.com/
ACT LABS LTD ,http://www.actlabs.com/
Actenum Corporation ,http://www.actenum.com/
ActiveState Corp ,http://www.activestate.com/
Acura Embedded Systems Inc. ,http://www.acuraembedded.com/
Adams Labels ,http://www.adamslabels.com/
Affinisys Inc ,http://www.affinisys.com/
AfterCAD Software Incorporated ,http://www.aftercad.com
Agresso Ltd ,http://www.acresso.com/
AMIN Solutions ,http://aminsolutions.com/
Aptus Communications Inc ,http://www.altuscgi.com/
Aquatic Informatics Inc ,http://www.aquaticinformatics.com/
Atimi Software Inc ,http://www.atimi.com/
ATP Engineering Inc. ,http://www.atpeng.com/
AutomationX GmbH ,http://www.automationx.com/
Azaris Studios Inc ,http://www.azaris.ca/
Bains Digital Inc ,http://www.bainsdigital.com
Barracuda Security Devices International Inc ,http://www.barracudasecurity.com/
Base Technology Ltd ,http://www.basetechnology.net
BCEd Online ,http://www.bcedonline.com
BellaCoola Software Corp ,http://www.bellacoola.com/
BizeWorld Solutions Inc ,http://www.bizeworld.com
"Braintech , Inc. ",http://www.braintech.com
"Bulldog Technologies , Inc. ",http://www.bulldog-tech.com
Bycast Inc ,http://www.bycast.com
Caelo Software Inc. ,http://www.caelo.com
Canadian Small Cap Resource Funds ,http://www.cscrf.ca
CanAm IT Solutions ,https://www.canamsolutionsinc.com/
CanMap Systems Inc ,http://www.canmapsystems.com/
CardioComm Solutions Inc. ,http://www.cardiocomm.com
Chancery Software Ltd ,http://www.chancery.com
CityXpress Corp ,http://www.cityxpress.info/
Coastal Range Systems Inc ,http://www.encaptis.com/
Codemedia Wireless Inc ,http://www.codemediawireless.com/
Coexist Design Inc ,http://www.coexistdesign.com/
Cogent Integrated Solutions Inc ,http://www.cogenths.com
Compuvision Technologies Inc ,http://www.compuvision.ca/
Constructive Media Inc. ,http://www.constructive-media.com
CopperLeaf Technologies Inc ,http://www.copperleaf.com/
"Countermind , LLC ",http://www.countermind.com
D-Wave Systems Inc. ,http://www.dwavesys.com/
De Silva Consulting Ltd ,
DemonWare Ltd ,https://http://www.demonware.net/
"Destiny Media Technologies , Inc. ",http://www.dsny.com/
DEWEY McMILLIN & ASSOCIATES LTD ,http://www.blastanalysis.com
Digital Dispatch Systems Inc ,http://www.digital-dispatch.com
Digital Payment Technologies Corp. ,http://www.digitalpaytech.com
Digital Ripple ,http://www.digitalripple.com/
Discovery Software Ltd ,http://discoverysoftware.com/
Donna Huber Studio/Gallery ,http://www.donnahuber.com
Effigy Interactive ,http://www.effigy.ca
Elastic Path Software Inc ,http://www.elasticpath.com/
Electric Edge Systems Group Inc. ,https://www.electricedgesystems.com/
Eloquent Systems Inc. ,http://www.eloquent-systems.com/
Embedded Automation Inc ,http://www.embeddedautomation.com
Ensemble Systems Inc ,http://www.ensemble.com/
Environmental Criminology Research Inc. ,http://www.ecricanada.com
Epic Data International Inc. ,http://www.epicdata.com
Eqqy Designs ,http://www.eqqy.com
ESi ,http://www.esi.com/
Essjay Ventures Inc. ,http://www.essjay.ca
Exponentia ,http://www.exponentia.com
Extreme Ease Software Incorporated ,http://www.extremeease.com
Eyeball Networks Inc ,http://www.eyeball.com/
FDM Software Ltd. ,http://www.fdmsoft.com/
Fincentric Corporation ,http://www.fincentric.com
Fitz Solutions Inc ,http://www.fitzsolutions.com
FlexiCAM GmbH ,http://www.flexicam.com
Flight Level Media Ltd ,http://www.flightlevelmedia.com
Forsite Consultants Ltd ,http://www.forsite.ca/
fSONA Communications Corporation ,http://www.fsona.com/
Funktion Design and Media ,http://www.funktiondesign.com/
FusionWare Corporation ,http://www.fusionware.net
Galdos Systems Inc ,http://www.galdosinc.com/
GaleForce Solutions Inc ,http://www.galeforcesolutions.com
Genesis Security Inc ,http://www.genesissecurity.com
GenoLogics Life Sciences Software Inc. ,http://www.genologics.com
GPS Industries Inc. ,http://www.gpsindustries.com
Gravit-e Technologies Inc ,http://www.gravit-e.ca
Harder Software Ltd ,http://www.hardersoft.com
HR Online Inc ,http://www.hronline.com
Hush Communications Corp ,http://www.hush.com
I.T. Systems Inc ,http://www.itswebware.com
iCompass Technologies Inc. ,http://www.icompasstech.com
IDELIX Software Inc. ,http://www.idelix.com
IIB Solutions ,http://www.iibspro.com
"Ikona Gear International , Inc. ",http://www.ikonagear.com
IMAG Technologies Inc ,
"Image Power , Inc. ",http://www.imagepower.com
In Motion Technology Inc. ,http://www.inmotiontechnology.com
Incognito Software Inc ,http://www.incognito.com
Incognito Software Inc ,http://www.incognito.com
Industrial Strength Software Company ,http://www.industrial-strength.com
Infinimode Systems Inc ,http://www.infinimode.com
Information Systems Group ,
Infowave Software Inc ,http://www.infowave.com
Inimit Innovations Inc ,http://www.inimit.com
Integrity Solutions Inc ,
IntelliSoft Computer Solutions Ltd ,http://www.intellisoftsolutions.ca
Intentional Design Inc ,http://www.intentionaldesign.ca
interactivetools.com inc ,http://www.interactivetools.com
Internet Solutions Limited ,http://www.isl.ca
IntLink Solutions ,http://www.intlink.ca
Intrinsyc Software Inc ,http://www.intrinsyc.com
IP Applications Corp ,http://www.ipapplications.com
ISCAPE ,http://www.iscapeinternet.com
Iserve Technology Consulting Ltd ,http://www.istcl.com
JJD Systems Inc ,http://www.jjdsystems.com
KLR Consulting Inc. ,http://www.klr.com
Knexa Solutions Ltd ,http://www.knexa.com
KnowledgeTech Inc ,http://www.knowledgetech.com
KORE Interactive Inc ,http://www.koreinteractive.com
Kranos Security Technologies Ltd ,http://www.kranos.com
Latitude Technologies Corporation ,http://www.latitudetech.com
Leigh Industries Ltd ,http://www.leighjigs.com
MAKE Technologies Inc ,http://www.maketechnologies.com
MapCloud Services Inc ,http://www.mapcloud.com
MARKETU INC ,
Marqui Inc ,http://www.marqui.com
Maximizer Software Inc. ,http://www.maximizer.com
Mc Squared System Design Group Inc ,http://www.mcsquared.com
MediaWave Communications Corp. ,http://www.mediawaveonline.com
Meme Media ,http://www.mememedia.com
Mercurial Communications Inc. ,http://www.mcomi.com
Meridex Software Corporation ,http://www.meridex.com
Merilus Inc. ,http://www.merilus.com
Metasoft Systems Inc. ,http://www.meta-soft.com
MetroBridge Networks Corporation ,http://www.metrobridge.com
Michitsch Systems Inc. ,http://www.michitschsystems.com
Microplex ,http://www.microplex.com
Mindquake Software Inc. ,
MINISIS Inc. ,http://www.minisisinc.com
Minoru Development Corporation ,
Mobidia Inc ,http://www.mobidia.com
Momentum Technologies Inc ,http://www.momentum-tech.com
Moonlaunch Systems Consulting Inc ,http://www.morewave.com
Morewave Communication Inc ,http://www.morewave.com
MPM Engineering Ltd. ,http://www.mpmeng.com
MTrack Software Ltd ,
Municipal Software Corporation ,http://www.municipalsoftware.com
MYRA Systems Corp ,http://www.myra.com
Neo Code Software Ltd ,http://www.neocodesoftware.com
Net-coneX Technologies Inc ,
Netcentrics Corporation ,
Netimage Media Inc ,http://www.netimagemedia.com
NetroMedia Company ,http://www.netromedia.com
NetworX ,
Newdale Systems Inc. ,http://www.newdalesystems.com
NGRAIN Corporation ,http://www.ngrain.com
