company,web
21st Century Systems Corporation,https://21csi.wordpress.com/
ADAPSYS L.P,http://www.adapsys.ca
AH Computers Systems Ltd.,http://www.ahcomputer.mb.ca/
Apptius Computer Solutions Inc,http://www.apptius.com/
Armchair Airlines Computer Services Inc,http://www.armchair.mb.ca/
ATLIS Geomatics,http://www.atlisgeo.com/
"Automated Design Systems, Inc.",https://www.automated-design.ca/
Avant Systems Group,http://www.avant.ca/
Beavis Informatics Ltd.,http://www.beavisinformatics.ca/
Business Networks Inc,http://www.bn.ca/
ClearOption Technologies Inc,http://www.clearoption.com/
Corectech Business Systems Inc.,http://www.corectech.com/
Custom Software Solutions Inc.,http://www.customsoftware-inc.com/
D M T,http://www.dmt.ca/
Data Integration Systems Company,http://www.disc-inc.com/index.html
DBI Technologies Inc.,http://www.dbi-tech.com/
Demonstrant Inc,
EISI,
Forest Computers,http://www.forestcomputers.com/
Function Four Ltd.,http://functionfour.com/about/
Geomax Mobile Inc,http://geomaxmobile.com/
GoldEye Software Inc,http://www.goldeyesoftware.com/
Greenridge Business Systems Corp,http://www2.greenridge.ca/
Gulfstream Computer Services Ltd,http://www.gulfstream.ca/
Helen J. Wythe & Associates,http://hjwythe.com/
IDfusion Software,http://idfusion.com/
Imaginet,http://www.imaginet.com/
Indigo Rose Corporation,http://www.indigorose.com/
Influx Design,
Ingenuity.com Inc,http://www.ingenuity.com/
Integrated Engineering Software,http://www.integratedsoft.com/
Kesitah Systems,http://www.kesitahsystems.com/
Kirsir Internet Solutions,http://www.kirsir.ca/
KMB Digital Design,http://www.kmbdd.ca/
LibreStream Technologies Inc.,http://www.librestream.com/
Linnet,
M9 Corporation,http://www.m9corp.com/
Majentis Technologies Inc,http://majentis.com/
Maxim Software,http://www.maximsoftware.co.nz/
Mayet Information Systems Inc,http://mayet.ca/
"Metrex Systems Consulting, Inc.",http://www.metrex.ca/
Mirage Consulting Ltd,http://www.mirageconsulting.com/
Modern Earth Inc.,http://www.ic.gc.ca/
Molinos Technologies,http://www.molinstechnologies.com/
Momentum Healthware Inc,http://www.momentumhealthware.com/
OlaTech Corp.,http://www.olatechcorp.com/
OMT Technologies Inc.,http://www.omt.net/
Parabola IP Solutions Inc,
PixSoft Inc,http://www.pixsoft.ca/
Productive Computer Systems Ltd,http://www.productivecomputer.com/
ProfitMaster Canada Inc.,http://insite.pmcanada.com/
Protegra Inc,http://ww1.protegra.com/
Quantic EMC Inc,http://www.quantic-emc.com
Rainy Day Software Corp,
SEEKVILLE INC.,
Sobkow Technologies,http://www.sobkow.com/
Spectra Computer Services Ltd,http://www.spectra.ca/
Synne Management Ltd,
Tell Us About Us Inc.,http://www.tellusaboutus.com/
The Solutions Group @ DJ Media,http://www.djmedia.com/
uniPoint Software Inc,http://www.unipointsoftware.com/
Westeel Limited,http://www.westeel.com/
WhiteFlash Consulting,http://www.whiteflash.ca/
"Woodborne, Inc.",
Zantek Information Technology Inc,http://www.zantek-it.com/home
