company,web
"Adaption Software , Inc. ",
Adventus Incorporated ,http://www.adventus.com/
AM Business Services ,http://www.ambshawaii.com/
Apison Communications ,
Atlantic Pharmaceutical Services Inc ,http://www.atlanticpharmaceutical.ca/
Basebridge.com Limited ,http://www.basebridge.com/
BRAMSTEC Computing & Consulting ,http://www.bramstec.com/
Brooklyn North Software Works Inc ,http://www.andrewsafer.com/
Coemergence Inc ,http://www.coemergence.com/
Computerease Limited ,http://www.computerease.ca/
CSE Computronics Inc ,
DDA Solutions Inc ,http://www.ddasolutions.com/
Diaphonics Inc. ,
DR Software Inc. ,http://www.drtax.ca/
Droctech Inc ,http://www.droctech.com/
Dymaxion Research Ltd ,http://www.dymaxion.ca/
eCRM Networks Inc ,
Entity Software Limited ,http://www.entitysoftware.com/
Expedient Viewing Technologies Inc ,http://www.evtview.com/
GoingWare ,http://www.goingware.com
H&M Riley Consulting Ltd ,
Helical Systems Inc. ,
HomeBusiness Websites ,http://www.homebusiness-websites.com/
Hylee LLC ,http://www.hyleegroup.com/
IFS Financial Services Inc ,http://www.ifs-finance.com/
Infopoll Inc ,http://www.infopoll.com/
Infotech Canada Inc. ,http://www.infotechcanada.com/
Innovait Web Services ,http://www.innovait.ca/
JAMAS Technologies ,http://www.jamastech.com/
Justken Web Services ,http://www.justken.net/
Kanayo Software Incorporated ,http://www.kanayo.com/
KLJ Computer Solutions Inc. ,http://www.venueclaims.com/
Logical Sequence Incorporated ,http://www.logicalsequence.com/
MapEze Inc ,http://www.mapeze.com/
Martec Limited ,http://www.martec.com/
MathResources Inc ,http://www.mathresources.com/
MediaSpark Inc ,http://www.mediaspark.com/
Membertou ,http://www.membertou.ca/
Metaworks Inc ,http://www.metaworks.com/
MicroTask Computer Services ,http://www.microtask.ca/
NavSim Technology Inc. ,http://www.navsim.com/
NewEdge Technologies Inc. ,http://www.newedge.net/
Nicom Ltd. ,http://www.nicomit.com/
NovaLIS Technologies Limited ,
OKAMLogic Inc. ,
Optio Publishing Inc ,http://www.optiopublishing.com/
"Pinter Consulting Services , Inc. ",
Plan B Solutions Inc ,http://www.planbsolutions.org/
Pleiades Consulting Incorporated ,
PostgreSQL Inc ,http://www.postgresql.org/
Progeny Software Inc ,http://www.progenysoftware.com/
Salesboom.com Inc ,http://www.salesboom.com/
Saratoga Oceanic Development Group Inc ,http://www.saratogaoceanic.com/
Saucer Technologies Group Limited ,http://www.saucer.ca/
Schooner Solutions Inc ,http://www.schoonersolutions.com/
Serca Technologies Inc ,
Skillchain Media ,
SolutionInc Limited ,http://www.onx.com/
Sunset Software Services ,http://www.sunsetsoftware.ca/
Tekmap Consulting ,http://www.tekmap.ns.ca/
The Bitz Inc ,http://www.thebitzinc.com/
Trihedral Engineering Limited ,http://www.trihedral.com/
Triton Data Inc ,http://www.tritondata.com/
"Virtual Communications , Inc. ",http://www.virtualc.net/
WebCentrex Inc. ,http://www.webcentrex.ca/
Winstorm ,http://www.winstorm.ca/
Zinck Computer Group Ltd ,http://www.zcg.com/
