company,web
2Gen ,http://www.2gen.net/
AccentWay Inc ,http://www.accentway.com/
Accord Software Inc ,http://www.accord.ca
Activience Inc ,http://www.activience.com/
Activplant Corporation ,http://www.activplant.com/
Adaptall Inc. ,http://www.adaptall.com/
Admiral Drive Systems Inc. ,http://www.admiraldrive.com/
AFORE Solutions Inc ,http://www.aforesolutions.com/
Agnicorp Inc. ,http://www.agnicorp.com/
Ahearn & Soper Inc. ,http://www.ahearn.com/
AirIQ Inc. ,http://www.airiq.ca/
Allen-Vanguard Corporation ,http://www.allenvanguard.com/
ALT Software Inc. ,http://www.altsoftware.com/
AMITA Corporation ,http://www.amita.com/
Amsdell Inc ,http://www.amsdell.com/
Arlink ,http://www.arlink.com/
Ask Information Technologies Inc ,
Asseance Software Inc ,http://www.asseance.com/
AssetMetrix Inc ,http://www.assetmetrix.com
Atix Information Systems ,http://www.atix.com/
Avant Garde Technology Inc ,http://www.avantgarde.ca/
Avanti Computer Systems Ltd. ,http://www.avantisystems.com/
Avendo Wireless Inc. ,http://www.avendowireless.com
Averna ,http://www.averna.com/
Avokia Inc ,http://www.avokia.com
Avokia Inc ,http://www.avokia.com
Axidata Inc ,http://www.axidata.ca/
AZCAR Technologies Incorporated ,http://www.azcar.com
B Sharp Technologies Inc ,http://www.bsharp.com/
Baldhead Systems Inc. ,http://www.baldhead.com/
Beckard Associates Ltd ,http://www.beckard.com/
Best Solutions Inc ,http://www.bestsol.com/
BioDentity Systems Corporation ,http://www.biodentity.com/
Bioscrypt Inc. ,http://www.bioscrypt.com/
bitHeads inc ,http://www.bitheads.com/
Blockade Systems Corp ,http://www.blockade.com
Blueprint ,http://www.blueprintmagazine.co.uk/
BonaSource Inc ,http://www.bonasource.com/
BorderWare Technologies Inc. ,http://www.borderware.com/
BrightBlocks Inc ,http://www.brightblocks.com
"Bsafe Information Systems , Ltd ",
Burntsand Inc ,http://www.burntsand.com/
Business Propulsion Systems Inc ,http://www.bpsinc.com
C.N.S. Canada Inc ,http://www.cnscanada.com
Canada Post Corporation ,http://www.canadapost.ca/
Canada Shelving Ltd. ,http://www.canadashelving.com/
CanWeb Internet Services Ltd ,http://www.canweb.com/
CashCode Company Inc ,http://www.cashcode.com/
Certicom Corp ,http://www.certicom.com/
CG Technologies Corp ,http://www.cgtechnologies.com/
Cinnabar Networks Inc. ,http://www.cinnabar.ca
Cloakware Corporation ,
CMS Consulting Inc. ,http://www.cms.ca/
Cognos Incorporated ,http://www.cognos.com/
Combat Networks Inc ,http://www.combatnetworks.com/
Communications Research Centre ,http://www.crc.ca/
CompanyDNA Inc ,http://www.companydna.com/
Compdata Communications Inc ,http://www.compdata.ca/
Compdata Communications Inc ,http://www.compdata.ca/
Compucage International Inc ,http://www.compucage.com/
Computer World W.L.L ,http://www.cwbah.com/
Computronic Corporation ,http://www.computronic.ca/
Concept Storage Solutions Ltd ,http://www.conceptstorage.com
CONDOR Manufacturing Incorporated ,
Connect Tech Inc ,http://www.connecttech.com/
Constellation Software Inc. ,http://www.csisoftware.com/
Corel Corporation ,http://www.corel.com/
Corman Technologies Inc. ,http://www.cormantech.com
Covarity Inc. ,http://www.covarity.com/
Crawford MicroSystems Ltd ,
Creative Manufacturing Solutions Inc ,http://www.creativemfg.ca/
CRYPTOCard Corporation ,
cStar Technologies Inc. ,http://www.cstartech.com/
Custom Security Industries Inc. ,http://www.csi-labels.com/
Cygnal Technologies Corporation ,http://www.cygnal.ca/
Daiwa Distribution Inc. ,http://www.daiwa.net
DapaSoft ,http://www.dapasoft.com/
Destiny Solutions Inc ,http://www.destinysolutions.com/
DEW Engineering ,http://www.dewengineering.com/
DigiPoS Systems Inc. ,http://www.digipos.co.uk
Digital Assignments ,http://www.digitalassignments.com/
Digital WebWorks ,http://www.digitalwebworks.ca
Diversinet Corp ,http://www.diversinet.com/
"DOLFIN.com , Inc ",
DSM Law Enforcement Products ,
DSPA Software Inc. ,http://www.dspasoftware.com
Dy 4 Systems Inc ,http://www.dy4.com
Dymaxium Inc ,http://www.dymaxium.com/
E-Certify Corporation ,http://www.e-cirtify.com
"eBRP Solutions, Inc. ",http://www.ebrp.net/
Ecebs Limited ,http://www.ecebs.com/
Echoworx Corporation ,http://www.echoworx.com/
"Eiger Technology , Inc. ",http://www.eigertechnology.com
Electramedia ,http://www.electramedia.com/
Eloqua Corporation ,
Emcon Emanation Control Limited ,http://www.emcon.com/
Enomaly Inc ,http://www.enomaly.com/
