company,web
247Consult ,http://www.247consult.com
8D Technologies Inc ,http://www.8d.com/
AC Total Support Inc ,http://www.totalsupport.ca
Adsero Corp. ,http://www.adserocorp.com
AGE Technologies Inc ,http://www.agetechnologies.com/
agileDSS Corporation ,
Aheeva ,http://www.aheeva.com/
Airesys Inc ,http://www.airesys.com/
"AIRLINX Communications , Inc. ",http://www.airlinx.com/
Airwide Solutions Inc ,http://www.airwidesolutions.com/
ALCiE Integrated Solutions Inc ,http://www.alcie.com/
ALCiE Integrated Solutions Inc ,http://www.alcie.com/
Alexram Internet Services ,http://www.alexram.com/
Alternatives Technology Pharma inc ,
Amadeus International Inc ,http://www.amadeussolutions.com
Ansco Information Systems Ltd ,http://www.ansco.com/
Applied Acoustics Systems ,http://www.applied-acoustics.com/
AppsGo Concepts Inc ,http://www.appsgo.com
Aptika ,http://www.aptika.com/
Aptilon Inc ,http://www.indegeneaptilon.com/
Ariane Controls Inc ,http://www.arianecontrols.com/
ArianeSoft Inc. ,http://www.arianesoft.ca/
Ascent Phase Corporation ,http://www.ascent-phase.org/
Atrion International Inc ,http://www.atrionintl.com/
Augeo ,http://www.augeo.com/
Automatisation JRT inc ,http://www.jrtinc.com/
AVeL-TECH Inc ,http://www.aveltech.ca
Axentra Corporation ,http://www.axentra.com/
Barbedwire Technologies Corporation ,http://www.barbedwiretech.com/
BCE Emergis Inc. ,http://www.emergis.com/
Best-Seller Inc. ,
Bluestreak Network Inc ,
BNH Expert Software Inc. ,http://www.bnhexpertsoft.com/
C-Chip Technologies Corporation ,http://www.c-chip.com
"Calabrio , Inc. ",
Carrus Technologies Inc ,http://www.carrus.ca/
CFD Canada ,
Chemical Computing Group Inc. ,http://www.chemcomp.com/
Ciara Technologies ,http://www.ciaratech.com/
Clarisys Inc ,http://www.clarisys.ca/
Codagen Technologies Corp. ,http://www.codagen.com/
Code Factory ,http://www.codfact.com/
CoFoMo Inc ,
Cogismaq ,http://www.cogismaq.com
Comdasys AG ,http://www.comdasys.com/
Concept Pro ,http://www.conceptpro.com/
Conceptis Technologies Inc ,http://www.conceptis.com.au/
Copernic ,http://www.copernic.com/
Corporate Software and Technologies Inc. ,http://www.cst.ca
Cosmex Graphics Inc. ,http://www.cosmexgraphics.com/
CPL Technologies Inc ,http://www.cpl-inc.com
Crescendo Systems Corporation ,http://www.crescendo.com/
CubeWerx Inc. ,http://www.cubewerx.com/
Cyanii IMS Inc ,http://www.cyanii.com
Cybectec Inc ,http://www.cybectec.com
CyberCat inc. ,
D.L.G.L. Ltd ,http://www.dlgl.com/
Dakis Decision Systems Inc. ,http://www.dakis.com/
DARTEC INC. ,http://www.dartec.com/
Dassault Systemes S.A. ,
Datacom ,http://www.datacom.com/
De Marque inc ,http://www.demarque.com/
Delphes Technologies International Inc ,http://www.delphes.com
Design Workshop Technologies Inc ,http://www.designw.com/
"Di-O-Matic , Inc. ",http://www.di-o-matic.com/
DIAGNOS inc. ,http://www.diagnocure.com/
DigiDyne Inc. ,http://www.digidyne.ca/
Dimension 4 Multimedia inc ,
"Dunord Technologies , Inc. ",http://www.dunord.com/
Dynagram Inc ,http://www.dynagram.com/
e-SPACE CONNEXIONS Inc ,http://www.e-space.com/
Ecreations Software Inc ,http://www.ecreations-software.com/
Efasoft Inc ,
Effes Technologies Inc. ,http://www.meetingdesigner.com
eFinitive Systems Inc ,http://www.efinitivesystems.com/
ElectroMagneticWorks Inc ,http://www.electromagneticworks.com/
EmbVUE Inc. ,http://www.embvue.com/
EngView Systems Corp ,http://www.engview.com/
"eRing Solutions , Inc. ",http://www.ering.net/
Eti-Net Inc ,http://www.etinet.com
Excendia Inc ,http://www.excendia.com/
EXICA ,http://www.exica.ca
Eyeball Glue ,http://www.eyeballglue.com
Famic Technologies Inc. ,http://www.famictech.com/
Fleetmind Solutions Inc ,http://www.fleetmind.com/
Flipr Networks Inc ,http://www.flipr.com
Forensic Technology Inc ,http://www.forensictechnology.com/
GDG Systems inc ,http://www.gdgsystems.com/
Geo-3D Inc. ,http://www.geo-3d.com/
GEOMAX International Inc ,http://www.geomax.qc.ca/
Gexel Telecom ,http://www.gexel.com/
Global Geomatics Inc ,http://www.globalgeo.com/
GlobalMedic Inc ,http://www.globalmedic.com/
GOT Corporation ,http://www.gotcorp.com/
Govern Software Inc ,http://www.governsoftware.com/
Groupe Systeme Foret inc ,
GTR Data Inc. ,http://www.gtrdata.com/
GWAVA Inc ,http://www.gwava.com/
Hemera Technologies Inc ,http://www.hemera.com
Heuristic Management Systems Inc ,http://www.hms.ca/
Honeybee Technology inc ,http://www.honeybeetechnology.com/
Hyperchip Inc. ,http://www.hyperchip.com/
I and A Research Inc. ,http://www.iaresearch.com/
"iBwave Solutions , Inc. ",http://www.ibwave.com/
ICAM Technologies Corporation ,http://www.icam.com/
"iCongo , Inc. ",http://www.icongo.com/
ID Group ,http://www.groupid.com/
Ideonova inc ,http://www.ideonova.com/
Imagina ,http://www.imagina.ca
Implanciel Inc. ,http://www.implanciel.com/
Imviva Corporation ,http://www.imviva.com
Infograffiti inc. ,http://www.infograffiti.com/
Infograffiti inc. ,http://www.infograffiti.com/
Informatel ,
"Infosite Technologies , Inc. ",http://www.infositetech.com/
InnovMetric Software Inc. ,http://www.innovmetric.com/
Integration New Media Inc ,http://www.inm.com/
Intellera ,http://www.intellera.com/
Intercollab ,http://www.intercollab.com/
Interfacing Technologies Corporation ,http://www.interfacing.com/
Internet Security.ca ,
InterTrade Systems Corporation ,http://www.intertrade.com/
Invidex Inc. ,http://www.invidex.com
ipMonitor Corporation ,http://www.ipmonitor.com/
IPricot SA ,http://www.ipricot.com/
Irosoft inc ,http://www.irosoft.com/
"ISR Technologies , Inc ",http://www.isr-technologies.com
Itergy International Inc ,http://www.itergy.com/
IXIASOFT Inc ,http://www.ixiasoft.com/
JBM Logic Inc. ,http://www.jbmlogic.com/
Jovaco Solution Inc. ,http://www.jovaco.com/
Keal ,http://www.keal.com/
KHEOPS Technologies Inc ,
KOMUNIK CORPORATION INC ,http://www.komunik.com
KOREM Inc. ,http://www.korem.com/
Kronosoft Inc. ,http://www.kronosoft.com
"Labcal Technologies , Inc. ",
LANCITe inc. ,
Lanterna Magica ,http://www.lanternamagica.com/
LocusDialog Inc ,http://www.locusdialog.com/
Logient Corporation ,
Logo Twister ,http://www.logotwister.com/
Logobee Inc. ,http://www.logobee.com/
Lynnon Corporation ,http://www.lynnon.com/
MagikInfo ,http://www.magikinfo.com
Magnal Inc ,http://www.magnal.com/
Maravedis Inc. ,http://www.maravedis-bwa.com/
Matricis Informatique Inc ,http://www.matricis.com/
Matrikon Inc ,http://www.matrikon.com/
Matrox ,http://www.matrox.com/
Maysys Consulting Inc ,http://www.maysys.com/
MDM Monac'Oh ,http://www.monacoh.com/
Mediagrif Interactive Technologies Inc. ,http://www.mediagrif.com/
MEI ,
Memotec Communications Inc. ,
Messaging Architects ,http://www.messagingarchitects.com/
MicroAge ,http://www.nwd-microage.com/
MicroSlate Inc. ,http://www.microslate.com
Millenium Solutions Informatiques Inc ,http://www.msi-qc.com/
Mitec Telecom Inc. ,http://www.mitectelecom.com/
Momentis Systems Inc ,http://www.momentis.com/
MultiCIM Technologies Inc ,http://www.multicim.com/
MULTICORPORA R&D INC ,http://www.multicorpora.com/
Multidev Technologies Inc ,http://www.multidev.com/
Nakisa Inc ,http://www.nakisa.com/
Neo Informatics Corporation ,http://www.neoinformatics.com/
netZuno Technologies ,http://www.netzuno.com/
Newmerical Technologies International ,http://www.newmerical.com/
NLP Technologies Inc ,http://www.nlptechnologies.ca/
Nomino Technologies Inc ,http://www.nominotechnologies.com/
Northstar Informatics Inc ,http://www.northstar-informatics.com/
Novalog Informatique Inc. ,http://www.novalog.ca/
NSB Group ,http://www.nsbgroup.com/
Nstein Technologies Inc ,http://www.nstein.com/
Objectif Lune inc ,http://www.objectiflune.com/
Oceanwide Inc ,http://www.oceanwide.com/
OKA Computer Systems Ltd. ,http://www.oka-info.com
Omega Unfold ,http://www.zonetrigger.com/
Ontotext ,
Opal-RT Technologies Inc ,http://www.opal-rt.com/
Opendesk Corp ,http://www.opendesk.com
Optis ,
ORANGE Digital Systems Inc ,http://www.orangedigital.com/
OttawaComputer.Com ,
ParadiVision Inc. ,http://www.paradivision.com/
Passione Ricamo ,http://www.passionericamo.com/
PCS Innovations Inc. ,http://www.pcsinnovations.com
PensEra Knowledge Technologies Inc ,http://www.pensera.com
PG Govern Inc ,http://www.pggovern.com/
Pinpoint Selling Inc ,
PIREL inc ,http://www.pirel.com/
Polkadots Software Inc. ,http://www.polkadots.ca/
Polyplan Technologies Inc ,http://www.polyplantechnologies.com
"Portec Rail Products , Inc. ",
Posera Software Inc. ,
Practice Solutions Web Services Inc ,http://www.health-companion.com/
Presagia Corp ,http://www.presagia.com/
Pretty Objects Computers inc ,http://www.prettyobjects.com/
Profilium Inc. ,http://www.profilium.ca
Progisia Informatique Inc ,http://www.progisia.com/
Proksim Software Inc. ,http://www.proksim.com
Proksim Software Inc. ,http://www.proksim.com
Proprius Technologies ,http://www.proprius.ca/
