Code,EN,CN,Level
111111,Chief Executive or Managing Director,行政长官或董事总经理,P
111111,Chief Executive Officer,行政总裁,A
111111,Director-General,总干事,S
111111,Executive Director,执行董事,S
111111,Secretary (Government Department) (Aus),秘书（政府部门） （澳大利亚）,S
111211,Corporate General Manager,公司总经理,P
111211,Kaiwhakahaere (NZ),Kaiwhakahaere （ NZ ）,S
111211,Chief Operating Officer,首席营运官,A
111211,Assistant Commissioner (Police),助理处长（警察）,S
111211,Hospital Administrator,医院管理,S
111211,Managing Editor,总编辑,S
111211,Trade Union Secretary,工会秘书,S
111212,Defence Force Senior Officer,国防军高级官员,P
111212,Air Force Senior Officer,空军高级官员,A
111212,Army Senior Officer,陆军高级官员,A
111212,Navy Senior Officer,海军高级官员,A
111212,Admiral (Navy),海军上将（海军）,S
111212,Air Chief Marshal (Air Force),空军上将（空军）,S
111212,Air Commodore (Air Force),空军准将（空军）,S
111212,Air Marshal (Air Force),空军元帅（空军）,S
111212,Air Vice Marshal (Air Force),少将（空军）,S
111212,Brigadier (Army),旅长（陆军）,S
111212,Captain (Navy),上尉（海军）,S
111212,Colonel (Army),上校（陆军）,S
111212,Commander (Navy),指挥官（海军）,S
111212,Commodore (Navy),准将（海军）,S
111212,General (Army),一般（陆军）,S
111212,Group Captain (Air Force),上校（美国空军）,S
111212,Lieutenant Colonel (Army),中校（陆军）,S
111212,Lieutenant General (Army),中将（陆军）,S
111212,Major General (Army),少将（陆军）,S
111212,Rear Admiral (Navy),海军少将（海军）,S
111212,Vice Admiral (Navy),副海军上将（海军）,S
111212,Wing Commander (Air Force),空军指挥官（空军）,S
111311,Local Government Legislator,地方政府立委,P
111311,Alderman (Aus),奥德曼（AUS）,A
111311,Councillor,委员,A
111311,Community Board Member (NZ),社区委员会成员（ NZ ）,S
111311,Mayor,市长,S
111312,Member of Parliament,国会议员,P
111312,Parliamentarian,国会议员,A
111312,Chief Minister (Aus),首席部长（澳大利亚）,S
111312,Government Minister,政府部长,S
111312,Member of the Legislative Assembly (Aus),立法会议员（澳洲）,S
111312,Member of the Legislative Council (Aus),立法会议员（澳洲）,S
111312,Premier (Aus),总理（AUS）,S
111312,Prime Minister,总理,S
111312,Senator (Aus),参议员（AUS）,S
111399,Legislators nec,立法者NEC,P
111399,Aboriginal Community Council Member (Aus),原住民社区理事会成员（澳大利亚）,N
111399,"Councillor, Aboriginal Land Council (Aus)",议员，土著土地理事会（澳大利亚）,N
121111,Aquaculture Farmer,农民水产养殖,P
121111,Seafood Farmer,海鲜农民,S
121111,Fish Farmer,鱼农夫,S
121111,Hatchery Manager (Fish),孵化场经理（鱼）,S
121111,Marine Farmer,海事农民,A
121111,Mussel Farmer,贻贝农民,S
121111,Oyster Farmer,牡蛎农民,S
121211,Cotton Grower,棉农,P
121212,Flower Grower,花农,P
121212,Floriculturist,花匠,A
121212,Market Gardener (Flowers) (Aus),市场花匠（花） （澳大利亚）,S
121213,Fruit or Nut Grower,水果或坚果种植者,P
121213,Market Gardener (Fruit) (Aus),市场园丁（水果） （澳大利亚）,S
121213,Olive Grower,橄榄种植者,S
121213,Orchardist,果树栽培,S
121214,Field Crop Grower (NZ),大田作物种植者（ NZ ）,P
121214,"Grain, Oilseed or Pasture Grower (Aus)",谷物，油籽和牧草种植者（澳大利亚）,P
121214,"Grain, Oilseed or Pasture Farm Manager (Aus)",谷物，油籽和牧场农场经理（澳大利亚）,A
121214,Lucerne Farmer,卢塞恩农民,S
121214,Soybean Grower (Aus),大豆种植者（AUS）,S
121214,Wheat Farmer,小麦农民,S
121215,Grape Grower,葡萄种植者,P
121215,Viticulturist,葡萄栽培,S
121216,Mixed Crop Farmer,混合作物农民,P
121217,Sugar Cane Grower,甘蔗种植者,P
121217,Sugar Cane Farm Manager,甘蔗农场经理,A
121218,Turf Grower,草坪种植者,P
121218,Turf Farmer,草坪农民,A
121221,Market Gardener (NZ),市场园丁（ NZ ）,P
121221,Vegetable Grower (Aus),菜农（AUS）,P
121221,Vegetable Farm Manager,蔬菜农场经理,A
121221,Market Gardener (Vegetables) (Aus),市场园丁（蔬菜） （澳大利亚）,S
121299,Crop Farmers nec,耕作的农民NEC,P
121299,Coffee Grower (Aus),咖啡种植者（AUS）,N
121299,Ginger Farmer,姜农,N
121299,Hop Farmer,合农民,N
121299,Mushroom Farmer,蘑菇农民,N
121299,Tea Tree Farmer,茶树农民,N
121299,Tree Farmer,树农民,N
121311,Apiarist,养蜂家,P
121311,Beekeeper,养蜂人,A
121312,Beef Cattle Farmer,肉牛农民,P
121312,Beef Cattle Farm Manager,肉牛养殖场经理,A
121312,Beef Cattle Grazier,肉牛放牧,A
121312,Stud Beef Cattle Farmer,种羊肉牛农民,S
121313,Dairy Cattle Farmer,奶牛农场主,P
121313,Dairy Cattle Farm Manager,奶牛场经理,A
121313,Share Dairy Farmer (Aus),分享奶农（澳大利亚）,S
121313,Sharemilker (NZ),Sharemilker （ NZ ）,S
121313,Stud Dairy Cattle Farmer,梭哈奶牛农场主,S
121314,Deer Farmer,鹿农民,P
121315,Goat Farmer,山羊农民,P
121316,Horse Breeder,马饲养员,P
121316,Horse Stud Manager,马梭哈经理,A
121316,Stud Master/Mistress,梭哈大师/女主人,S
121317,Mixed Livestock Farmer,混合畜牧业农民,P
121318,Pig Farmer,猪农,P
121318,Pig Farm Manager,猪场管理,A
121318,Pig Breeder,猪饲养员,S
121321,Poultry Farmer,家禽饲养,P
121321,Poultry Farm Manager,家禽养殖场经理,A
121321,Egg Producer,鸡蛋生产商,S
121321,Hatchery Manager (Poultry),孵化场经理（家禽）,S
121322,Sheep Farmer,羊农民,P
121322,Sheep Farm Manager,羊场经理,A
121322,Stud Sheep Farmer,梭哈羊农民,S
121322,Wool Grower,羊毛种植者,S
121399,Livestock Farmers nec,畜牧业农民NEC,P
121399,Alpaca Farmer,羊驼农民,N
121399,Crocodile Farmer (Aus),鳄鱼农民（AUS）,N
121399,Dog Breeder,狗饲养员,N
121399,Emu Farmer (Aus),农民鸸鹋（澳洲）,N
