no,date,people,points,numinyear
1,2015-01-31,779,886,1
2,2015-02-07,779,818,2
3,2015-02-20,849,808,3
4,2015-02-27,1187,735,4
5,2015-03-20,1620,481,5
6,2015-03-27,1637,453,6
7,2015-04-10,925,469,7
8,2015-04-17,715,453,8
9,2015-05-22,1361,755,9
10,2015-06-12,1501,482,10
11,2015-06-26,1575,469,11
12,2015-07-10,1516,463,12
13,2015-07-17,1581,451,13
14,2015-08-07,1402,471,14
15,2015-08-21,1523,456,15
16,2015-09-08,1517,459,16
17,2015-09-18,1545,450,17
18,2015-10-02,1530,450,18
19,2015-10-23,1502,489,19
20,2015-11-13,1506,484,20
21,2015-11-27,1559,472,21
22,2015-12-04,1451,461,22
23,2015-12-18,1503,460,23
24,2016-01-06,1463,461,1
25,2016-01-13,1518,453,2
26,2016-01-27,1468,457,3
27,2016-02-10,1505,459,4
28,2016-02-24,1484,453,5
29,2016-03-09,1013,473,6
30,2016-03-23,1014,470,7
31,2016-04-06,954,470,8
32,2016-04-20,1018,468,9
1,,779,886,1
2,,779,818,2
3,,"",808,3
4,,"1,187",735,4
5,,"1,620",481,5
6,,"1,637",453,6
7,,925,469,7
8,,715,453,8
9,,"1,361",755,9
10,,"1,501",482,10
11,,"1,575",469,11
12,,"1,516",463,12
13,,"1,581",451,13
14,,"1,402",471,14
15,,"1,523",456,15
16,,"1,517",459,16
17,,"1,545",450,17
18,,"1,530",450,18
19,,"1,502",489,19
20,,"1,506",484,20
21,,"1,559",472,21
22,,"","1,451",22
23,,"","1,503",23
24,,"","1,463",24
25,,"","1,518",25
26,,"","1,468",26
27,,"","1,505",27
28,,"","1,484",28
29,,"1,013",473,29
30,,"1,014",470,30
31,,954,470,31
32,,"1,018",468,32
飞出国,<b>累计人数：</b>,46671.0,450,<b>最低分数：</b>
