no,date,people,points,numinyear
1,2015-01-31,779,886,1
2,2015-02-07,779,818,2
3,2015-02-20,849,808,3
4,2015-02-27,1187,735,4
5,2015-03-20,1620,481,5
6,2015-03-27,1637,453,6
7,2015-04-10,925,469,7
8,2015-04-17,715,453,8
9,2015-05-22,1361,755,9
10,2015-06-12,1501,482,10
11,2015-06-26,1575,469,11
12,2015-07-10,1516,463,12
13,2015-07-17,1581,451,13
14,2015-08-07,1402,471,14
15,2015-08-21,1523,456,15
16,2015-09-08,1517,459,16
17,2015-09-18,1545,450,17
18,2015-10-02,1530,450,18
19,2015-10-23,1502,489,19
20,2015-11-13,1506,484,20
21,2015-11-27,1559,472,21
22,2015-12-04,1451,461,22
23,2015-12-18,1503,460,23
24,2016-01-06,1463,461,1
25,2016-01-13,1518,453,2
26,2016-01-27,1468,457,3
27,2016-02-10,1505,459,4
28,2016-02-24,1484,453,5
29,2016-03-09,1013,473,6
30,2016-03-23,1014,470,7
31,2016-04-06,954,470,8
32,2016-04-20,1018,468,9
33,2016-05-06,799,534,10
34,2016-05-18,763,484,11
35,2016-06-01,762,483,12
36,2016-06-15,752,488,13
37,2016-06-29,773,482,14
38,2016-07-13,747,482,15
39,2016-07-27,755,488,16
40,2016-08-10,754,490,17
41,2016-08-24,750,538,18
42,2016-09-07,1000,491,19
43,2016-09-21,1288,483,20
44,2016-10-12,1518,484,21
45,2016-10-19,1804,475,22
46,2016-11-02,2080,472,23
47,2016-11-16,2427,470,24
48,2016-11-30,559,786,25
49,2016-12-16,1936,497,26
50,2016-12-22,2878,475,27
51,2017-01-04,2902,468,1
52,2017-01-11,3334,459,2
飞出国,<b>累计人数：</b>,71081,450,<b>最低分数：</b>
