items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
15 years of age or older (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,32.2,36.5,36.3,34.3,33.4,28.5,29.7,32.9,39.8,31.5
Economic immigrants - p.a.*,18.2,17.3,18.7,22.4,23.5,26.9,25.9,26.1,23.9,30.9
Economic immigrants - s.d.**,34.6,30.3,29.4,31,30.5,33.3,30.3,29.3,25.9,27.7
Refugees,12.2,11.4,10.2,7.6,7.9,7.9,10.3,8,8.1,7.6
Other immigrants,2.9,4.5,5.4,4.8,4.7,3.5,3.8,3.7,2.3,2.2
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 15 years of age or older,100,100,100,100,100,100,100,100,100,100
15 to 24 years of age (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,47.2,47.8,47.9,45.3,43,38,37.2,37.9,40.1,39
Economic immigrants - p.a.*,2.3,2.6,3.8,4.2,4.4,4.3,4.3,5.5,5.5,7.1
Economic immigrants - s.d.**,32.8,30.9,30.1,34.9,36.9,42.5,39.9,39.4,37.4,38.1
Refugees,15.6,15,13.8,11.3,11.6,12.1,15,13.5,14.5,13.3
Other immigrants,2.1,3.7,4.4,4.3,4.1,3.1,3.7,3.8,2.5,2.5
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 15 to 24 years of age,100,100,100,100,100,100,100,100,100,100
25 to 44 years of age (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,24.5,26.9,28,26,25.1,21.3,22.9,23.4,27.3,23.8
Economic immigrants - p.a.*,24.6,24.6,25.9,30.7,32.3,35.5,34.4,35.2,34.5,39.6
Economic immigrants - s.d.**,37.9,34,32,32.6,31.8,34.1,31,31.4,29.4,28.9
Refugees,10.6,10.2,8.9,6.3,6.3,6,8.2,6.7,6.8,5.9
Other immigrants,2.4,4.3,5.3,4.5,4.5,3.1,3.5,3.2,2,1.8
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 25 to 44 years of age,100,100,100,100,100,100,100,100,100,100
45 to 64 years of age (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,39.9,47.9,44.1,42.4,42.1,36.2,37,46.6,57.6,43.4
Economic immigrants - p.a.*,15.5,13.4,15.1,17.7,18.6,22.2,21.1,19.7,14.8,24.2
Economic immigrants - s.d.**,26.5,21.8,24.1,26.6,24.8,26.4,23.8,20.6,16.3,19.6
Refugees,14.2,11.7,10.9,8.2,9.4,10.3,13.3,8.3,8.7,9.5
Other immigrants,4,5.1,5.8,5,5,4.8,4.7,4.8,2.7,3.3
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 45 to 64 years of age,100,100,100,100,100,100,100,100,100,100
65 years of age or more (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,65.4,80.1,78.6,79.8,80.8,81.4,80,87.6,92.7,85.3
Economic immigrants - p.a.*,0.6,0.4,0.5,0.5,0.7,0.5,0.8,0.4,0.1,0.6
Economic immigrants - s.d.**,0.5,0.4,0.9,1,1,0.8,0.7,0.4,0.2,0.7
Refugees,16.5,8.6,8.7,6.6,9.3,10.3,11.5,6.2,4.2,8.5
Other immigrants,16.9,10.5,11.2,12,8.1,6.9,7,5.5,2.8,4.9
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 65 years of age or more,100,100,100,100,100,100,100,100,100,100
