items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Canada-Female permanent residents by category (percentage distribution),,,,,,,,,,
Total by Category (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,28.5,32.4,32.4,30.2,29.4,24.6,25.7,28.5,34.9,28.1
Economic immigrants,56.1,51.2,51.6,57,57.8,64,59.9,59.4,54.1,61.3
Refugees,12.8,12.2,11.1,8.4,8.6,8.4,11,8.8,8.8,8.4
Other immigrants,2.6,4.1,4.8,4.3,4.2,3,3.4,3.3,2.2,2.2
Category not stated,0,0,0,0,0,0,0,0,0,0
Total by Category,100,100,100,100,100,100,100,100,100,100
Family Class (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Spouses and partners,21.1,21.8,22.7,21,20.2,16.9,17.9,17.8,18.8,18.4
Sons and daughters,1.2,1.1,1.3,1.2,1.1,1,1,0.9,1,1.1
Parents and grandparents,5.1,8.6,7.3,7.4,7.6,6.2,6.4,9.4,13.9,7.6
Others,1.2,1,1.1,0.7,0.5,0.5,0.5,0.4,1.3,1
Total Family class,28.5,32.4,32.4,30.2,29.4,24.6,25.7,28.5,34.9,28.1
Economic immigrants (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Entrepreneurs - p.a.*,0.1,0.1,0.1,0,0.1,0,0,0,0,0
Entrepreneurs - s.d.**,0.9,1,0.8,0.6,0.4,0.3,0.3,0.1,0.1,0.2
Self-employed - p.a.*,0.1,0.1,0,0,0,0,0,0,0,0
Self-employed - s.d.**,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1
Investors - p.a.*,0.3,0.3,0.2,0.4,0.4,0.4,0.5,0.4,0.4,0.3
Investors - s.d.**,3.2,2.8,2.7,3.5,3.5,3.6,3.6,3.1,2.7,2.3
Start-up Business - p.a.*,,,,,,,,,,0
Start-up Business - s.d.**,,,,,,,,,,--
Skilled workers - p.a.*,11.3,10.1,10.8,11.5,11.1,12.4,11.3,11.8,9.9,8.3
Skilled workers - s.d.**,34.4,28.2,26.9,26.9,24,27.1,22,21.4,19.8,15.6
Canadian experience class - p.a.*,,,,,0.6,0.6,1.1,1.7,1.1,3.5
Canadian experience class - s.d.**,,,,,0.4,0.7,1.1,1.7,1.4,4.7
Skilled trades - p.a.*,,,,,,,,,--,--
Skilled trades - s.d.**,,,,,,,,,--,--
Provincial/territorial nominees - p.a.*,0.5,0.9,1.4,1.7,2.5,3,4,4.5,4.8,5.3
Provincial/territorial nominees - s.d.**,2.5,4,5.2,6.6,8.6,9.3,10.5,10.5,9.2,11.3
Live-in caregivers - p.a.*,2.2,2.6,2.7,4.5,4.6,5,3.7,2.7,3.5,8.2
Live-in caregivers - s.d.**,0.4,0.9,0.7,1.1,1.6,1.5,1.6,1.4,1,1.5
Total Economic immigrants,56.1,51.2,51.6,57,57.8,64,59.9,59.4,54.1,61.3
Refugees (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Government-assisted refugees,2.7,2.7,3.1,2.9,2.9,2.6,3,2.1,2.1,2.7
Privately sponsored refugees,1.1,1.2,1.4,1.3,1.9,1.6,2,1.5,2.2,1.5
Refugees landed in Canada,6.8,5.8,4.5,2.6,2.6,3,4.2,3.3,3,2.9
Refugee dependants,2.2,2.6,2.2,1.7,1.3,1.3,1.7,1.9,1.4,1.2
Blended Visa Office-Referred refugees,,,,,,,,,0.1,0.1
Total Refugees,12.8,12.2,11.1,8.4,8.6,8.4,11,8.8,8.8,8.4
Other Immigrants (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Retirees, DROC and PDRCC***?",0,0,0,0,0,0,0,0,--,--
Temporary resident permit holders,0,0.1,0,0,0,0,0,0,0,0
H and C****?cases,1.1,1.7,1.8,1.4,1.3,1.1,1.2,1.2,1.2,1.3
Other H and C****?cases outside the family class / Public Policy,1.4,2.4,2.9,2.9,2.9,1.9,2.2,2,0.7,0.5
Public Policy with RAP,,,,,,,,,--,--
Public Policy without RAP,,,,,,,,0.1,0.4,0.3
Total Other immigrants,2.6,4.1,4.8,4.3,4.2,3,3.4,3.3,2.2,2.2
