items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
15 years of age or older (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,22.1,26.2,25.9,25.5,25.1,21,22.4,25.1,32.2,25.7
Economic immigrants - p.a.Footnote*,43.1,39.4,39.5,41,40.7,43.4,40.3,40.7,38.3,43.6
Economic immigrants - s.d.Footnote**,17.6,16.8,17.6,20,20.5,22.9,22.3,21.5,18.6,20
Refugees,14.4,13,11.7,8.5,8.8,8.9,11.1,8.6,9.1,8.8
Other immigrants,2.9,4.6,5.3,5,4.9,3.9,3.9,4.2,1.8,2
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 15 years of age or older,100,100,100,100,100,100,100,100,100,100
15 to 24 years of age (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,31.1,33.3,31.1,29.7,27.7,23.7,24,24.9,27.5,25.3
Economic immigrants - p.a.Footnote*,3.1,3.9,5.2,5.3,6.1,6.3,6,7.6,8.8,11.7
Economic immigrants - s.d.Footnote**,41.7,38.2,39.6,45.2,46.7,50.8,47,46.7,43.2,43.5
Refugees,21.4,20.5,19.3,15.1,15.3,15.7,19.1,16.4,17.9,16.8
Other immigrants,2.7,4,4.7,4.7,4.1,3.5,3.8,4.4,2.5,2.8
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 15 to 24 years of age,100,100,100,100,100,100,100,100,100,100
25 to 44 years of age (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,17,19,20.4,20.7,20.5,17.2,18.3,18.6,23.1,20.6
Economic immigrants - p.a.Footnote*,55.1,52.5,51.3,52.4,52.2,54.3,51.1,52.7,51.5,54.6
Economic immigrants - s.d.Footnote**,12.3,12,12.6,14.6,14.8,17.5,17.7,17.5,16,16.1
Refugees,12.8,11.6,10.1,7.1,7.3,7.1,9,6.9,7.9,7.1
Other immigrants,2.8,4.9,5.7,5.2,5.2,3.8,3.8,4.3,1.6,1.5
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 25 to 44 years of age,100,100,100,100,100,100,100,100,100,100
45 to 64 years of age (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,26,32,28.8,26.7,26.9,22,23.6,29.5,40.3,30.5
Economic immigrants - p.a.Footnote*,44.5,39.7,42,44.8,42.2,44.5,40.1,37.7,32.3,37.5
Economic immigrants - s.d.Footnote**,13.8,12.9,14.5,16.8,18.2,20.4,20.6,19.6,16.1,19.5
Refugees,13.1,11.3,10.2,7.3,8,8.8,11.4,9.1,8.9,9.4
Other immigrants,2.8,4.1,4.4,4.5,4.7,4.2,4.2,4,2.3,3.1
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 45 to 64 years of age,100,100,100,100,100,100,100,100,100,100
65 years of age or more (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,76.9,85.5,83.3,85.3,83.6,82.2,82.4,90.6,93.8,88.8
Economic immigrants - p.a.Footnote*,2.9,2.4,3.2,2.9,2.5,2.7,2.5,1.4,0.9,2.1
Economic immigrants - s.d.Footnote**,1.8,0.9,0.9,1.7,1.3,1.3,1.4,0.9,0.5,1.1
Refugees,11.5,6.1,7.1,5.4,8.1,9.1,10.6,4.6,3.5,6.1
Other immigrants,6.9,5,5.5,4.7,4.6,4.6,3.2,2.5,1.4,1.9
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 65 years of age or more,100,100,100,100,100,100,100,100,100,100
