items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Category (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,19.6,23.4,23.2,22.5,22.1,18.2,19.5,21.8,28,22.9
Economic immigrants,63.3,58.9,59.5,63.9,64.1,69.3,65.7,65.4,60.5,65.7
Refugees,14.5,13.7,12.5,9.3,9.5,9.2,11.5,9.1,9.6,9.5
Other immigrants,2.5,4.1,4.7,4.3,4.2,3.3,3.3,3.7,1.8,2
Category not stated,0,0,0,0,0,0,0,0,0,0
Total by Category,100,100,100,100,100,100,100,100,100,100
Family Class (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Spouses and partners,13.4,14,15,14.5,14.4,12,12.9,12.8,14.1,13.8
Sons and daughters,1.3,1.4,1.6,1.5,1.3,1.2,1.2,1.2,1.2,1.4
Parents and grandparents,4.4,7.3,6,6,6,4.7,4.9,7.5,11,6.3
Others,0.5,0.6,0.7,0.6,0.4,0.4,0.4,0.4,1.8,1.4
Total Family class,19.6,23.4,23.2,22.5,22.1,18.2,19.5,21.8,28,22.9
Economic immigrants (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Entrepreneurs - p.a.*,0.5,0.6,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1
Entrepreneurs - s.d.**,0.7,0.8,0.6,0.4,0.3,0.2,0.2,0.1,0.1,0.1
Self-employed - p.a.*,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Self-employed - s.d.**,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1
Investors - p.a.*,1.7,1.5,1.5,2,1.9,1.9,1.9,1.6,1.5,1.3
Investors - s.d.**,2.1,1.8,1.8,2.4,2.4,2.5,2.5,2.1,1.9,1.8
Start-up Business - p.a.*,,,,,,,,,,--
Start-up Business - s.d.**,,,,,,,,,,--
Skilled workers - p.a.*,29,25.4,24.6,24.1,21.6,22.7,18.4,18.2,16.7,14.1
Skilled workers - s.d.**,24.8,20.6,20.7,21.7,19.7,23,19.7,19.5,18,14.1
Canadian experience class - p.a.*,,,,,0.9,1.2,2.1,3,2.3,7.6
Canadian experience class - s.d.**,,,,,0.2,0.3,0.5,0.9,0.7,2.5
Skilled trades - p.a.*,,,,,,,,,--,--
Skilled trades - s.d.**,,,,,,,,,--,--
Provincial/territorial nominees - p.a.*,1.6,2.9,4,5.2,7,7,8.4,9,9.9,11.2
Provincial/territorial nominees - s.d.**,1.7,2.8,3.8,4.7,6,6.7,8,7.8,7,9
Live-in caregivers - p.a.*,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.1,0.2,0.5
Live-in caregivers - s.d.**,0.8,1.8,1.6,2.5,3.4,3,3.4,2.8,2,3.2
Total Economic immigrants,63.3,58.9,59.5,63.9,64.1,69.3,65.7,65.4,60.5,65.7
Refugees (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Government-assisted refugees,2.9,3.1,3.4,3,3,2.6,2.9,2.1,2.2,3.1
Privately sponsored refugees,1.2,1.5,1.7,1.6,2.1,1.9,2.5,1.8,2.7,2
Refugees landed in Canada,8.5,6.9,5.4,3.1,3.1,3.5,4.4,3.3,3.2,3.1
Refugee dependants,1.9,2.2,2.1,1.6,1.2,1.2,1.6,1.9,1.4,1.3
Blended Visa Office-Referred refugees,,,,,,,,,0.1,0.1
Total Refugees,14.5,13.7,12.5,9.3,9.5,9.2,11.5,9.1,9.6,9.5
Other Immigrants (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Retirees, DROC and PDRCC***?",0,0,0,0,0,0,0,0,--,--
Temporary resident permit holders,0.1,0.1,0,0,0,0,0,0,0,0
H and C****?cases,1.2,1.7,1.8,1.4,1.2,1,1,1.1,1,1.3
Other H and C****?cases outside the family class / Public Policy,1.3,2.3,2.8,2.9,3,2.2,2.3,2.5,0.4,0.4
Public Policy with RAP,,,,,,,,,--,--
Public Policy without RAP,,,,,,,,0.1,0.3,0.3
Total Other immigrants,2.5,4.1,4.7,4.3,4.2,3.3,3.3,3.7,1.8,2
