items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
15 years of age or older (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,27.3,31.6,31.4,30.2,29.5,24.9,26.2,29.1,36.2,28.8
Economic immigrants - p.a.*,30.1,27.8,28.5,31.1,31.7,34.8,32.8,33.2,30.7,36.9
Economic immigrants - s.d.**,26.5,23.9,23.8,25.8,25.7,28.3,26.5,25.5,22.5,24.1
Refugees,13.2,12.2,10.9,8,8.3,8.4,10.7,8.3,8.6,8.2
Other immigrants,2.9,4.6,5.3,4.9,4.8,3.7,3.8,3.9,2.1,2.1
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 15 years of age or older,100,100,100,100,100,100,100,100,100,100
15 to 24 years of age (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,40.1,41.3,40.5,38.4,36.2,31.4,31.1,31.8,34.3,32.6
Economic immigrants - p.a.*,2.7,3.2,4.5,4.7,5.2,5.2,5.1,6.5,7,9.2
Economic immigrants - s.d.**,36.7,34.2,34.3,39.5,41.3,46.3,43.2,42.8,40.1,40.6
Refugees,18.1,17.5,16.3,13,13.3,13.8,16.9,14.8,16.1,14.9
Other immigrants,2.4,3.9,4.5,4.4,4.1,3.3,3.8,4.1,2.5,2.6
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 15 to 24 years of age,100,100,100,100,100,100,100,100,100,100
25 to 44 years of age (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,20.9,23.1,24.4,23.5,22.9,19.3,20.7,21.1,25.3,22.3
Economic immigrants - p.a.*,39.3,38,38,40.9,41.8,44.5,42.5,43.7,42.7,46.6
Economic immigrants - s.d.**,25.6,23.5,22.8,24.1,23.7,26.2,24.6,24.6,23,22.9
Refugees,11.6,10.8,9.4,6.7,6.7,6.6,8.6,6.8,7.3,6.5
Other immigrants,2.6,4.6,5.5,4.8,4.8,3.4,3.6,3.7,1.8,1.7
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 25 to 44 years of age,100,100,100,100,100,100,100,100,100,100
45 to 64 years of age (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,32.6,40,36.4,34.4,34.5,28.9,30.2,38.2,49.4,37.2
Economic immigrants - p.a.*,30.7,26.6,28.6,31.4,30.5,33.6,30.8,28.5,23,30.6
Economic immigrants - s.d.**,19.8,17.3,19.3,21.7,21.5,23.3,22.2,20.1,16.2,19.5
Refugees,13.6,11.5,10.6,7.8,8.7,9.6,12.4,8.7,8.8,9.4
Other immigrants,3.4,4.6,5.1,4.7,4.9,4.5,4.5,4.4,2.6,3.2
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 45 to 64 years of age,100,100,100,100,100,100,100,100,100,100
65 years of age or more (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,70.8,82.6,80.8,82.3,82.1,81.8,81.1,89,93.2,86.9
Economic immigrants - p.a.*,1.7,1.4,1.8,1.6,1.5,1.5,1.5,0.9,0.5,1.3
Economic immigrants - s.d.**,1.1,0.6,0.9,1.3,1.1,1,1,0.6,0.3,0.9
Refugees,14.2,7.4,7.9,6.1,8.8,9.8,11.1,5.4,3.9,7.4
Other immigrants,12.3,7.9,8.5,8.7,6.5,5.9,5.3,4.1,2.1,3.5
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 65 years of age or more,100,100,100,100,100,100,100,100,100,100
