items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Marital Status,,,,,,,,,,
Marital status,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Single,28.1,28.3,28,27.9,28.6,28.3,28.9,29.4,30.9,36.9
"Married, common-law partner",68.5,67.7,68.2,68.5,67.7,68.2,67.5,66.4,64,59.1
"Separated, divorced, widowed",3.4,3.9,3.8,3.5,3.7,3.5,3.6,4.1,5.1,4
Marital status not stated,0,0,0,0,0,0,0,0,0,0
Gender not stated,0,0,0,0,0,0,0,0,0,0
Total by Marital Status,100,100,100,100,100,100,100,100,100,100
Males (percentage distribution),,,,,,,,,,
Marital status,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Single,33.7,34.2,33.5,32.2,32.6,32,32.5,33.8,34.9,40.5
"Married, common-law partner",64.7,64,64.7,66.3,65.8,66.5,65.9,64.5,63.2,57.8
"Separated, divorced, widowed",1.6,1.8,1.7,1.5,1.5,1.5,1.6,1.7,1.9,1.7
Marital status not stated,0,0,0,0,0,0,0,0,0,0
Total Males,100,100,100,100,100,100,100,100,100,100
Females (percentage distribution),,,,,,,,,,
Marital status,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Single,22.9,22.9,23,24.1,25,24.8,25.6,25.3,27.3,33.8
"Married, common-law partner",72.1,71.2,71.4,70.5,69.3,69.8,69,68.3,64.7,60.3
"Separated, divorced, widowed",5,5.9,5.6,5.4,5.7,5.3,5.4,6.5,7.9,5.9
Marital status not stated,0,0,0,0,0,0,0,0,0,0
Total Females,100,100,100,100,100,100,100,100,100,100
