items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Source Area (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,17.6,19.5,19.8,20,21.8,23.1,23.3,21.9,24,23.9
Asia and Pacific,54,51.8,49.2,49.6,48.6,50.4,50.3,51.9,51,51.4
Europe and the United Kingdom,15.5,14.7,15.8,15.2,15.2,13.1,11.9,12.4,11.9,11.6
United States,3.2,3.8,4,4.1,3.6,2.9,3.1,3.1,3.3,3.3
South and Central America,9.4,9.8,11,10.7,10.7,10.3,11.2,10.5,9.6,9.6
Source area not stated,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3
Total by Source Area,100,100,100,100,100,100,100,100,100,100
0 to 14 years of age (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,18.4,21.2,21,22.5,25.3,26.3,26.7,26.8,29.4,29.2
Asia and Pacific,52.1,48,46.5,45.7,44.5,48.4,47.7,47.7,46.6,46.3
Europe and the United Kingdom,14.3,13.9,14.9,14.7,14.6,11.7,10.4,10.9,9.5,9.7
United States,6,6.9,6.8,6.3,5.4,4.8,5.5,5.2,5.2,5.7
South and Central America,8.8,9.6,10.5,10.5,9.9,8.6,9.6,9.3,9.1,8.9
Source area not stated,0.4,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.4
Total 0 to 14 years of age,100,100,100,100,100,100,100,100,100,100
15 to 24 years of age (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,19,19.6,19.6,19.9,20.8,21.5,22.9,21.4,25.7,23.4
Asia and Pacific,55.3,55.2,53.6,53.2,53,53.5,51.7,53,49.6,52.2
Europe and the United Kingdom,13.1,11.6,12.3,12.2,12.4,10.8,9.5,9.6,9.2,8.7
United States,2,2.3,2.5,2.9,2.7,2.3,2.3,2.2,2.8,2.6
South and Central America,10.3,10.8,11.6,11.5,10.9,11.6,13.3,13.5,12.5,12.6
Source area not stated,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.5
Total 15 to 24 years of age,100,100,100,100,100,100,100,100,100,100
25 to 44 years of age (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,17.4,20.4,20.5,20.3,22.2,23.9,23.6,22.8,24.7,23.3
Asia and Pacific,53.3,49.7,47.1,48.8,47.3,49,49.6,49.5,48.5,51.7
Europe and the United Kingdom,17.2,16.9,17.7,16.2,16.1,14,13.1,14.2,13.6,13
United States,2.1,2.6,2.8,3.1,2.7,2.1,2.2,2.4,2.7,2.4
South and Central America,9.7,10.2,11.6,11.3,11.5,10.8,11.3,10.9,10.4,9.3
Source area not stated,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Total 25 to 44 years of age,100,100,100,100,100,100,100,100,100,100
45 to 64 years of age (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,14.8,14.5,16.4,15.9,17.1,17.3,18.2,15.4,17.8,19.7
Asia and Pacific,58.1,58.6,53.8,54.6,54.1,55.6,54,59.3,59,55
Europe and the United Kingdom,13.8,12.6,14,14.4,14.7,13.6,12.5,11.6,11.4,11.2
United States,4.3,5.3,6,5.7,4.7,3.6,3.7,3.7,3.8,4.4
South and Central America,8.7,8.6,9.5,9,9.1,9.8,11.3,9.9,7.8,9.4
Source area not stated,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3
Total 45 to 64 years of age,100,100,100,100,100,100,100,100,100,100
65 years of age or more (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,16.4,12.7,15.2,15.9,18.5,15.1,15.7,8.7,14.2,20.2
Asia and Pacific,56.9,66.6,57.8,50.1,51.4,53.1,59.5,75.2,68.3,59
Europe and the United Kingdom,14.4,11.5,16.4,22.2,18.9,17.6,10.9,9,11.6,10.4
United States,5,3.6,3.8,4.7,4,3.2,2.6,1.7,1.9,2.5
South and Central America,6.8,5,6.1,6.8,6.8,10.5,10.9,5.1,3.8,7.6
Source area not stated,0.4,0.6,0.6,0.3,0.3,0.5,0.4,0.3,0.2,0.3
Total 65 years of age or more,100,100,100,100,100,100,100,100,100,100
