items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,52.7,50.5,54.1,57.5,58,57.4,62.4,49.2,40.5,46.7
French,4,4.1,4,4.6,4.4,7.2,7.5,5.1,4.8,5.8
Both French and English,4,3.9,4.4,4.6,4.7,4.8,4.9,3.8,3.9,4.6
Neither,39.3,41.5,37.5,33.4,32.9,30.6,25.3,41.9,50.8,42.8
Total Family class,100,100,100,100,100,100,100,100,100,100
Economic immigrants - p.a. (percentage distribution)Footnote*,,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,58.8,62.2,61.7,64.2,61.6,64.2,63.2,63.4,66,72.7
French,4,4.7,5.1,4.5,4.9,5,5.5,5.8,5.5,4.1
Both French and English,20.1,22.3,25.1,22.7,25.3,21.7,22.3,21.7,19.3,16.3
Neither,17.1,10.9,8.2,8.7,8.3,9.1,9,9.1,9.2,6.8
Total Economic immigrants - p.a.Footnote*,100,100,100,100,100,100,100,100,100,100
Economic immigrants - s.d. (percentage distribution)Footnote**,,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,40.5,46,46.6,51,51.9,52.4,51.1,55.2,54.7,60.8
French,3.8,4.4,5.1,5,5.8,5,5.7,6.5,6.1,5.3
Both French and English,6.5,7.1,8.1,7.6,8.4,7.5,7.8,7.6,6.4,6.5
Neither,49.2,42.5,40.2,36.4,33.9,35.1,35.4,30.7,32.8,27.4
Language ability not stated,0,0,0,0,0,0,0,0,0,0
Total Economic immigrants - s.d.Footnote**,100,100,100,100,100,100,100,100,100,100
Refugees (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,55.3,52.2,46.9,43.4,45.2,47,53.7,47.1,41.6,35.3
French,7.6,8.1,8.9,7.8,7.1,8.6,9,10.9,8.5,6.5
Both French and English,4.5,2.7,2.6,2.8,3.3,3.6,5.4,5.2,3.7,4
Neither,32.6,37,41.5,46.1,44.4,40.9,32,36.8,46.1,54.2
Total Refugees,100,100,100,100,100,100,100,100,100,100
Other Immigrants (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,77.4,76.2,79.3,81.9,83.5,81.5,82.1,80.6,74.6,63.7
French,10.8,7.9,9.2,8,8.6,11.5,10.9,9.6,11.8,9.7
Both French and English,5.4,7.1,5.7,4,3.7,3.1,3.2,3.5,4,4.7
Neither,6.4,8.8,5.8,6.1,4.3,3.8,3.8,6.4,9.6,21.9
Total Other immigrants,100,100,100,100,100,100,100,100,100,100
