items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Source area (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,17.6,19.5,19.8,20,21.8,23.1,23.3,21.9,24,23.9
Asia and Pacific,54,51.8,49.2,49.6,48.6,50.4,50.3,51.9,51,51.4
Europe and the United Kingdom,15.5,14.7,15.8,15.2,15.2,13.1,11.9,12.4,11.9,11.6
United States,3.2,3.8,4,4.1,3.6,2.9,3.1,3.1,3.3,3.3
South and Central America,9.4,9.8,11,10.7,10.7,10.3,11.2,10.5,9.6,9.6
Source area not stated,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3
Category not stated,0,0,0,0,0,0,0,0,0,0
Total by Source area,100,100,100,100,100,100,100,100,100,100
Family Class (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,11.8,11.8,13.5,14.1,14.8,15.7,15.2,13.7,15.6,17.3
Asia and Pacific,57.9,61.1,56.9,53.2,53.2,50,51.7,58.5,54.8,50
Europe and the United Kingdom,12.7,11.1,12.7,14.1,13.5,13.2,12.3,11.2,12.6,11.9
United States,6,5.8,5.6,6.7,6.4,5.9,5.9,5.4,5.5,5.8
South and Central America,11.3,9.9,11.1,11.8,11.9,14.9,14.7,11,11.4,14.7
Source area not stated,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Total Family class,100,100,100,100,100,100,100,100,100,100
Economic immigrants (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,16.4,20.6,20.2,19.6,21.2,22.7,22.5,22,23.8,21.8
Asia and Pacific,58.1,53,50.2,52.6,50.9,54.8,55.5,54.4,55,57.5
Europe and the United Kingdom,17.7,18,18.9,17,17.4,14.2,13,14,12.6,12.3
United States,2.4,3.2,3.5,3.1,2.4,1.8,1.8,1.9,2.1,2.3
South and Central America,5.1,5.1,7.1,7.6,8,6.5,7.1,7.6,6.5,6
Source area not stated,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0
Total Economic immigrants,100,100,100,100,100,100,100,100,100,100
Refugees (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,31.8,31.8,33.5,42.2,48.4,45.4,45.9,46.5,56,59.5
Asia and Pacific,33.7,32.7,34.2,29.2,29,27.1,25.6,24.7,20,17.9
Europe and the United Kingdom,10.5,7.7,7.1,4.6,3.5,3.6,3.4,3.9,4,5.2
United States,1,1.4,1.5,1.1,1.3,2.7,2.8,3,1.9,1.4
South and Central America,22.1,25.2,22.8,22.1,17,20,21.3,21,17.3,14.7
Source area not stated,0.8,1.1,0.9,0.8,0.9,1.3,0.9,0.9,0.7,1.4
Total Refugees,100,100,100,100,100,100,100,100,100,100
Other Immigrants (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,23,18.6,19.1,16.3,16.5,18.5,17.3,16.5,15.9,16.6
Asia and Pacific,28.2,33.7,28.7,29,28.2,25.9,26.7,29,20.5,24.8
Europe and the United Kingdom,17.1,17.3,18.4,18.9,18.3,16.4,16.8,14.9,15.2,12.3
United States,7.2,6.3,7.1,9.3,8.5,6.9,8,7.2,9.9,8.8
South and Central America,24.1,23.8,26.4,25.4,28,32,31,32.1,37.5,31.7
Source area not stated,0.4,0.4,0.4,1.1,0.5,0.3,0.2,0.3,1,5.8
Total Other immigrants,100,100,100,100,100,100,100,100,100,100
