items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Category (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,24.2,28,28,26.5,25.9,21.5,22.7,25.2,31.6,25.6
Economic immigrants,59.6,54.9,55.4,60.3,60.9,66.6,62.8,62.3,57.2,63.4
Refugees,13.6,12.9,11.8,8.8,9.1,8.8,11.2,8.9,9.2,8.9
Other immigrants,2.6,4.1,4.8,4.3,4.2,3.2,3.3,3.5,2,2.1
Category not stated,0,0,0,0,0,0,0,0,0,0
Total by Category,100,100,100,100,100,100,100,100,100,100
Family Class (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Spouses and partners,17.3,18,19,17.9,17.4,14.5,15.5,15.3,16.5,16.2
Sons and daughters,1.2,1.3,1.4,1.3,1.2,1.1,1.1,1.1,1.1,1.3
Parents and grandparents,4.8,7.9,6.7,6.7,6.8,5.5,5.7,8.5,12.5,7
Others,0.8,0.8,0.9,0.6,0.4,0.4,0.4,0.4,1.5,1.2
Total Family class,24.2,28,28,26.5,25.9,21.5,22.7,25.2,31.6,25.6
Economic immigrants (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Entrepreneurs - p.a.*,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0,0,0.1
Entrepreneurs - s.d.**,0.8,0.9,0.7,0.5,0.4,0.3,0.2,0.1,0.1,0.1
Self-employed - p.a.*,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1
Self-employed - s.d.**,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Investors - p.a.*,1,0.9,0.9,1.1,1.1,1.1,1.2,1,0.9,0.8
Investors - s.d.**,2.7,2.3,2.3,3,2.9,3,3.1,2.6,2.3,2.1
Start-up Business - p.a.*,,,,,,,,,,--
Start-up Business - s.d.**,,,,,,,,,,--
Skilled workers - p.a.*,19.9,17.5,17.4,17.5,16.2,17.4,14.8,15,13.2,11
Skilled workers - s.d.**,29.7,24.6,23.9,24.4,21.9,25.1,20.9,20.5,18.9,14.9
Canadian experience class - p.a.*,,,,,0.7,0.9,1.6,2.3,1.7,5.5
Canadian experience class - s.d.**,,,,,0.3,0.5,0.8,1.3,1.1,3.7
Skilled trades - p.a.*,,,,,,,,,0,--
Skilled trades - s.d.**,,,,,,,,,0,--
Provincial/territorial nominees - p.a.*,1,1.9,2.7,3.4,4.7,4.9,6.1,6.7,7.3,8.1
Provincial/territorial nominees - s.d.**,2.1,3.4,4.5,5.7,7.4,8,9.3,9.2,8.2,10.2
Live-in caregivers - p.a.*,1.2,1.4,1.5,2.5,2.5,2.7,2,1.4,1.9,4.5
Live-in caregivers - s.d.**,0.6,1.3,1.1,1.8,2.5,2.2,2.5,2.1,1.5,2.3
Total Economic immigrants,59.6,54.9,55.4,60.3,60.9,66.6,62.8,62.3,57.2,63.4
Refugees (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Government-assisted refugees,2.8,2.9,3.2,3,2.9,2.6,3,2.1,2.2,2.9
Privately sponsored refugees,1.1,1.3,1.5,1.4,2,1.7,2.2,1.6,2.4,1.8
Refugees landed in Canada,7.6,6.3,4.9,2.8,2.9,3.2,4.3,3.3,3.1,3
Refugee dependants,2.1,2.4,2.2,1.6,1.3,1.3,1.7,1.9,1.4,1.2
Blended Visa Office-Referred refugees,,,,,,,,,0.1,0.1
Total Refugees,13.6,12.9,11.8,8.8,9.1,8.8,11.2,8.9,9.2,8.9
Other Immigrants (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Retirees, DROC and PDRCC***",0,0,0,0,0,0,0,0,--,--
Temporary resident permit holders,0,0.1,0,0,0,0,0,0,0,0
H andc C****cases,1.2,1.7,1.8,1.4,1.2,1,1.1,1.1,1.1,1.3
Other H and C****cases outside the family class / Public Policy,1.3,2.3,2.9,2.9,2.9,2.1,2.2,2.3,0.5,0.4
Public Policy with RAP,,,,,,,,,--,--
Public Policy without RAP,,,,,,,,0.1,0.3,0.3
Total Other immigrants,2.6,4.1,4.8,4.3,4.2,3.2,3.3,3.5,2,2.1
