items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Category,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,36.8,40,40.7,39.4,38.2,33.6,34.6,36.5,43.5,36
Economic immigrants,44.7,41.2,41.2,45.8,46.8,52.8,49,49.4,44.9,53
Refugees,14.6,12.9,11.3,8.3,8.6,8.7,11.2,9,9.1,8.6
Other immigrants,3.9,5.9,6.8,6.5,6.4,4.9,5.1,5.1,2.5,2.4
Category not stated,0,0,0,0,0,0,0,0,0,0
Total by Category,100,100,100,100,100,100,100,100,100,100
Family Class,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Spouses and partners,28.9,29.3,30.5,29.6,28.7,25.1,26.1,25.5,26.4,25.3
Sons and daughters,2.2,2.2,2.5,2.3,2.1,2,2,1.9,1.9,2.2
Parents and grandparents,4.2,7.1,6.1,6.4,6.6,5.7,5.7,8.5,12.7,6.5
Others,1.6,1.4,1.6,1.1,0.8,0.8,0.8,0.6,2.6,1.9
Total Family class,36.8,40,40.7,39.4,38.2,33.6,34.6,36.5,43.5,36
Economic immigrants,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Entrepreneurs,0.5,0.6,0.4,0.3,0.3,0.2,0.1,0.1,0.1,0.1
Self-employed,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Investors,1.9,1.6,1.6,2.1,2.1,2.2,2.3,1.9,1.6,1.4
Start-up Business,,,,,,,,,,--
Skilled workers,37.9,32.7,31.6,32.4,29.8,33.7,28,27.9,23.7,19.5
Canadian Experience Class,,,,,1.3,1.7,3,4.3,3,9.6
Skilled trades,,,,,,,,,0,--
Provincial/territorial nominees,1.9,3.5,4.8,6.2,8.6,9.6,11.7,12.4,13.1,14.3
Live-in caregivers,2.2,2.6,2.6,4.6,4.6,5.3,3.8,2.7,3.4,7.9
Total Economic immigrants,44.7,41.2,41.2,45.8,46.8,52.8,49,49.4,44.9,53
Refugees,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Government-assisted refugees,1.9,2,2.1,2.1,2.1,1.9,2.1,1.6,1.7,2.1
Privately sponsored refugees,1.1,1.1,1.2,1.2,1.6,1.5,2,1.4,2.1,1.4
Refugees landed in Canada,10,7.9,6.1,3.6,3.8,4.3,5.9,4.4,3.9,3.8
Refugee dependants,1.6,1.8,1.7,1.4,1.1,1,1.3,1.6,1.3,1.2
Blended Visa Office-Referred refugees,,,,,,,,,0.1,0.1
Total Refugees,14.6,12.9,11.3,8.3,8.6,8.7,11.2,9,9.1,8.6
Other Immigrants,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Retirees, DROC and PDRCCFootnote*",0,0,0,0,0,0,0,0,--,--
Temporary resident permit holders,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,--
H and CFootnote**cases,1.5,1.8,1.9,1.5,1.4,1.3,1.3,1.3,1.2,1.4
Other H and CFootnote**cases outside the family class / Public Policy,2.3,4,4.8,4.9,4.9,3.6,3.8,3.7,0.8,0.7
Public Policy with RAP,,,,,,,,,--,--
Public Policy without RAP,,,,,,,,0.1,0.5,0.3
Total Other immigrants,3.9,5.9,6.8,6.5,6.4,4.9,5.1,5.1,2.5,2.4
