items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Category,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,10.1,14.1,12.3,11.3,11.2,8.5,9.4,12.1,16.6,12
Economic immigrants,76.1,70.8,72.9,77.5,77.5,81.3,78.1,77.3,72.6,76.9
Refugees,12.6,13,12.5,9.5,9.6,8.9,11.2,8.9,9.4,9.4
Other immigrants,1.2,2.1,2.3,1.8,1.7,1.3,1.4,1.6,1.4,1.6
Category not stated,0,0,0,0,0,0,0,0,0,0
Total by Category,100,100,100,100,100,100,100,100,100,100
Family Class (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Spouses and partners,4.5,4.9,4.8,4,4,3.2,3.7,3.6,4.1,4.2
Sons and daughters,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0
Parents and grandparents,5.4,8.9,7.3,7.1,7.1,5.2,5.6,8.4,12.2,7.6
Others,0,0.1,0.1,0.1,0,0,0,0.1,0.3,0.2
Total Family class,10.1,14.1,12.3,11.3,11.2,8.5,9.4,12.1,16.6,12
Economic immigrants (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Entrepreneurs,1.7,2,1.5,1.1,0.8,0.6,0.4,0.3,0.3,0.3
Self-employed,0.6,0.5,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.2
Investors,5.6,5,5.1,6.5,6.4,6.3,6.5,5.6,5.3,4.8
Start-up Business,,,,,,,,,,--
Skilled workers,62.7,53,53.3,53.3,47.8,52,44.3,44.2,42.6,34.2
Canadian Experience Class,,,,,0.7,1,1.7,2.9,2.5,8.5
Skilled trades,,,,,,,,,0,--
Provincial/territorial nominees,4.3,7.4,10.1,12.4,16.1,16.6,19.7,19.8,18.4,23.6
Live-in caregivers,1.2,2.9,2.5,3.8,5.4,4.6,5.3,4.4,3.4,5.3
Total Economic immigrants,76.1,70.8,72.9,77.5,77.5,81.3,78.1,77.3,72.6,76.9
Refugees (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Government-assisted refugees,3.8,3.9,4.5,4,3.9,3.3,3.9,2.7,2.8,3.9
Privately sponsored refugees,1.2,1.5,1.8,1.7,2.5,2,2.6,1.9,2.9,2.2
Refugees landed in Canada,4.9,4.5,3.5,1.9,1.7,2,2.6,2.1,2,2
Refugee dependants,2.6,3,2.7,1.9,1.5,1.6,2.1,2.2,1.6,1.2
Blended Visa Office-Referred refugees,,,,,,,,,0.1,0.1
Total Refugees,12.6,13,12.5,9.5,9.6,8.9,11.2,8.9,9.4,9.4
Other Immigrants (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
"Retirees, DROC and PDRCC*",0,0,0,0,0,0,0,0,--,--
Temporary resident permit holders,0,0,0,0,0,0,0,0,0,--
H and C**cases,0.9,1.6,1.7,1.3,1.1,0.8,0.9,0.9,1,1.1
Other H and C**cases outside the family class / Public Policy,0.3,0.5,0.5,0.5,0.6,0.5,0.5,0.7,0.2,0.2
Public Policy with RAP,,,,,,,,,--,--
Public Policy without RAP,,,,,,,,0,0.2,0.3
Total Other immigrants,1.2,2.1,2.3,1.8,1.7,1.3,1.4,1.6,1.4,1.6
