items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13
Total by Category (percentage distribution) 1990-2001,,,,,,,,,,,,,
Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
Family class,34.5,37.8,39.7,43.9,42,36.4,30.2,27.7,29.2,29.1,26.6,26.6,
Economic immigrants,45.2,37.2,37.6,41.2,45.6,50.1,55.5,59.4,56.2,57.5,59.9,62.1,
Refugees?,18.6,23.2,20.5,11.9,9.1,13.2,12.6,11.3,13.1,12.8,13.2,11.1,
Other immigrants,1.7,1.8,2.2,3,3.3,0.4,1.7,1.6,1.5,0.5,0.2,0.1,
Category not stated,0,0,0,0,0,0,0,0,0,0,0,0,
Gender not stated,0,0,0,0,0,0,0,0,0,0,0,0,
Total by Category,100,100,100,100,100,100,100,100,100,100,100,100,
Total by Category (percentage distribution) 2002-2014,,,,,,,,,,,,,
Category,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,27.2,29.4,26.4,24.2,28,28,26.5,25.9,21.5,22.7,25.2,31.6,25.6
Economic immigrants,60.2,54.7,56.7,59.6,54.9,55.4,60.3,60.9,66.6,62.8,62.3,57.2,63.4
Refugees?,11,11.7,13.9,13.6,12.9,11.8,8.8,9.1,8.8,11.2,8.9,9.2,8.9
Other immigrants,1.6,4.2,3,2.6,4.1,4.8,4.3,4.2,3.2,3.3,3.5,2,2.1
Category not stated,0,0,0,0,0,0,0,0,0,0,0,0,0
Gender not stated,0,0,0,0,0,0,0,0,0,0,0,0,0
Total by Category,100,100,100,100,100,100,100,100,100,100,100,100,100
Males (percentage distribution) 1990-2001,,,,,,,,,,,,,
Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
Family class,30.8,33.1,34.4,39.5,37.9,31.7,25.5,22.6,23.4,23.1,20.7,21.1,
Economic immigrants,45.7,36.8,37.9,42.6,47.9,52.7,58.4,62.9,60.5,62.2,64.7,66.8,
Refugees?,22,28.4,25.5,14.7,10.7,15.1,14,12.7,14.5,14.2,14.4,12.1,
Other immigrants,1.6,1.7,2.2,3.2,3.5,0.5,2.1,1.8,1.6,0.6,0.2,0.1,
Category not stated,0,0,0,0,0,0,0,0,0,0,0,0,
Total Males,100,100,100,100,100,100,100,100,100,100,100,100,
Males (percentage distribution) 2002-2014,,,,,,,,,,,,,
Category,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,21.5,23.4,20.8,19.6,23.4,23.2,22.5,22.1,18.2,19.5,21.8,28,22.9
Economic immigrants,65.3,60.1,61.4,63.3,58.9,59.5,63.9,64.1,69.3,65.7,65.4,60.5,65.7
Refugees?,11.7,12.9,14.9,14.5,13.7,12.5,9.3,9.5,9.2,11.5,9.1,9.6,9.5
Other immigrants,1.4,3.6,3,2.5,4.1,4.7,4.3,4.2,3.3,3.3,3.7,1.8,2
Category not stated,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Males,100,100,100,100,100,100,100,100,100,100,100,100,100
Females (percentage distribution) 1990-2001,,,,,,,,,,,,,
Category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,
Family class,38.3,42.6,44.8,47.7,45.6,40.7,34.8,32.7,34.7,34.9,32.4,32.1,
Economic immigrants,44.8,37.5,37.3,39.9,43.5,47.7,52.6,56.1,52.2,53.1,55.3,57.6,
Refugees?,15.1,18,15.7,9.5,7.7,11.4,11.3,9.9,11.8,11.6,12.1,10.2,
Other immigrants,1.7,1.9,2.2,2.8,3.2,0.3,1.3,1.4,1.3,0.5,0.2,0.1,
Category not stated,0,0,0,0,0,0,0,0,0,0,0,0,
Total Females,100,100,100,100,100,100,100,100,100,100,100,100,
Females (percentage distribution) 2002-2014,,,,,,,,,,,,,
Category,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,32.7,35.1,31.7,28.5,32.4,32.4,30.2,29.4,24.6,25.7,28.5,34.9,28.1
Economic immigrants,55.2,49.7,52.3,56.1,51.2,51.6,57,57.8,64,59.9,59.4,54.1,61.3
Refugees?,10.2,10.6,12.9,12.8,12.2,11.1,8.4,8.6,8.4,11,8.8,8.8,8.4
Other immigrants,1.9,4.6,3.1,2.6,4.1,4.8,4.3,4.2,3,3.4,3.3,2.2,2.2
Category not stated,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Females,100,100,100,100,100,100,100,100,100,100,100,100,100
