items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Source Area (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,17.6,19.5,19.8,20,21.8,23.1,23.3,21.9,24,23.9
Asia and Pacific,54,51.8,49.2,49.6,48.6,50.4,50.3,51.9,51,51.4
Europe and the United Kingdom,15.5,14.7,15.8,15.2,15.2,13.1,11.9,12.4,11.9,11.6
United States,3.2,3.8,4,4.1,3.6,2.9,3.1,3.1,3.3,3.3
South and Central America,9.4,9.8,11,10.7,10.7,10.3,11.2,10.5,9.6,9.6
Source area not stated,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3
Gender not stated,0,0,0,0,0,0,0,0,0,0
Total by Source Area,100,100,100,100,100,100,100,100,100,100
Males (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,18.6,20.7,21.2,21.3,23.1,24.7,24.7,23,25.1,25.1
Asia and Pacific,52.7,50.1,47.3,47.8,46.8,48.4,48.9,50.4,49.5,48.8
Europe and the United Kingdom,16,15.2,16.3,15.6,15.7,13.6,12.4,12.9,12.3,12.6
United States,3.1,3.8,4,4.2,3.6,2.9,3.1,3.1,3.3,3.4
South and Central America,9.2,9.7,10.9,10.8,10.6,10,10.7,10.3,9.6,9.7
Source area not stated,0.4,0.4,0.3,0.3,0.2,0.3,0.3,0.2,0.2,0.4
Total Males,100,100,100,100,100,100,100,100,100,100
Females (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,16.6,18.3,18.5,18.8,20.6,21.5,22,20.8,23,22.7
Asia and Pacific,55.1,53.5,50.9,51.3,50.3,52.3,51.7,53.3,52.4,53.7
Europe and the United Kingdom,15,14.3,15.3,14.8,14.7,12.6,11.4,11.9,11.4,10.7
United States,3.3,3.8,4,4.1,3.5,2.9,3.1,3,3.3,3.1
South and Central America,9.7,9.9,11.1,10.7,10.7,10.5,11.7,10.7,9.7,9.5
Source area not stated,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3
Total Females,100,100,100,100,100,100,100,100,100,100
