items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by category (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,24.2,28,28,26.5,25.9,21.5,22.7,25.2,31.6,25.6
Economic immigrants,59.6,54.9,55.4,60.3,60.9,66.6,62.8,62.3,57.2,63.4
Refugees,13.6,12.9,11.8,8.8,9.1,8.8,11.2,8.9,9.2,8.9
Other immigrants,2.6,4.1,4.8,4.3,4.2,3.1,3.3,3.5,2,2.1
Category not stated,0,0,0,0,0,0,0,0,0,0
Province or territory not stated,0,0,0,0,0,0,0,0,0,0
Total by category,100,100,100,100,100,100,100,100,100,100
Nova Scotia (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,24,19.7,17.3,20.1,19.8,18.7,20.2,20,24.1,17.1
Economic immigrants,63.4,68.6,70.9,69,69.7,70,66,69.3,66.4,73.1
Refugees,10.5,8.4,7.1,7.3,6.8,9.1,10.5,8.3,8,8.8
Other immigrants,2.2,3.3,4.6,3.7,3.7,2.3,3.3,2.3,1.5,1
Total Nova Scotia,100,100,100,100,100,100,100,100,100,100
New Brunswick (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,22.4,15.1,15.6,15.7,13.1,9.9,14.4,10.8,15.5,8.6
Economic immigrants,59.5,72.4,71.3,73,78.3,81.3,74.9,81.3,75.7,83.8
Refugees,16.6,10.8,10.6,8.9,6.9,7.4,9.1,7,8.1,7
Other immigrants,1.6,1.7,2.6,2.4,1.7,1.4,1.6,0.9,0.7,0.6
Total New Brunswick,100,100,100,100,100,100,100,100,100,100
Other Atlantic provinces (percentage distribution)*,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,15.2,14.5,10.5,10.7,8,4.9,7.2,10.4,14.3,7.1
Economic immigrants,55.7,64.8,71.1,77.1,81.2,87.9,82.6,80,75.5,83.5
Refugees,26.2,19,16.6,10.1,9.6,6.6,9.3,8.4,9.1,8.9
Other immigrants,2.8,1.7,1.8,2.1,1.2,0.7,0.9,1.1,1.1,0.6
Total Other Atlantic provinces*,100,100,100,100,100,100,100,100,100,100
Quebec (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,19.3,20.6,18.9,20.2,17.9,17.8,17.5,16.7,23.1,22.1
Economic immigrants,60.7,58.1,62,65,69.7,70.2,69.8,72,67,66.5
Refugees,16.5,15.9,13.1,10,8.2,8.7,9.7,8.3,7.8,9.4
Other immigrants,3.5,5.4,6,4.8,4.1,3.2,3,3,2.2,2
Category not stated,0,0,0,0,0,0,0,0,0,0
Total Quebec,100,100,100,100,100,100,100,100,100,100
Ontario (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,24.9,30.5,31.9,30.5,31,24.8,27.5,32.2,39,32
Economic immigrants,56.6,49.7,48.2,53.3,51.3,58.8,51.7,49.6,46,53.1
Refugees,15.6,14.9,13.9,10.7,11.8,11.8,16,12.7,12.3,12
Other immigrants,2.9,4.9,5.9,5.5,5.8,4.5,4.8,5.5,2.8,2.9
Category not stated,0,0,0,0,0,0,0,0,0,0
Total Ontario,100,100,100,100,100,100,100,100,100,100
Manitoba (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,14.7,13.3,12.1,12.3,10.1,8.7,8.8,13.1,15,11.3
Economic immigrants,70.7,73.4,76,77.5,80.7,84,82.4,77.7,73.3,79.2
Refugees,13.5,12.3,10.7,8.7,8.1,6.5,8.2,8.6,11.1,9.2
Other immigrants,1.1,1,1.2,1.5,1.2,0.8,0.7,0.7,0.6,0.3
Total Manitoba,100,100,100,100,100,100,100,100,100,100
Saskatchewan (percentage distribution),,,,,,,,,,
