items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by category,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"63,374","70,516","66,240","65,580","65,208","60,226","56,451","65,010","81,843","66,661"
Economic immigrants,"156,308","138,236","131,194","149,026","153,490","186,915","156,107","160,788","148,154","165,089"
Refugees,"35,775","32,499","27,954","21,854","22,849","24,696","27,872","23,069","23,829","23,265"
Other immigrants,"6,779","10,371","11,312","10,730","10,622","8,841","8,300","9,014","5,194","5,362"
Category not stated,2,2,1,2,1,7,3,5,0,1
Province or territory not stated,4,16,52,52,0,2,14,17,3,26
Total by category,"262,242","251,640","236,753","247,244","252,170","280,687","248,747","257,903","259,023","260,404"
Nova Scotia,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,462,510,436,532,479,449,432,468,609,456
Economic immigrants,"1,223","1,774","1,790","1,829","1,690","1,684","1,411","1,624","1,680","1,952"
Refugees,202,217,180,193,166,218,225,195,202,235
Other immigrants,42,85,117,97,89,55,70,55,38,27
Total Nova Scotia,"1,929","2,586","2,523","2,651","2,424","2,406","2,138","2,342","2,529","2,670"
New Brunswick,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,244,249,256,291,251,211,284,238,312,244
Economic immigrants,649,"1,191","1,171","1,355","1,498","1,727","1,473","1,799","1,529","2,376"
Refugees,181,178,174,165,132,157,179,155,164,199
Other immigrants,17,28,42,45,32,30,31,21,14,18
Total New Brunswick,"1,091","1,646","1,643","1,856","1,913","2,125","1,967","2,213","2,019","2,837"
Other Atlantic provinces*,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,126,156,162,220,186,161,173,190,261,178
Economic immigrants,461,695,"1,093","1,588","1,892","2,896","1,993","1,456","1,377","2,105"
Refugees,217,204,256,208,224,216,225,153,165,224
Other immigrants,23,18,27,43,27,22,22,20,20,15
Total Other Atlantic provinces*,827,"1,073","1,538","2,059","2,329","3,295","2,413","1,819","1,823","2,522"
Quebec,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"8,358","9,225","8,524","9,143","8,869","9,630","9,048","9,190","12,007","11,121"
Economic immigrants,"26,294","25,953","28,026","29,380","34,509","37,917","36,100","39,630","34,818","33,437"
Refugees,"7,165","7,104","5,933","4,522","4,057","4,711","5,020","4,591","4,038","4,728"
Other immigrants,"1,498","2,399","2,716","2,171","2,053","1,723","1,577","1,654","1,123","1,007"
Category not stated,0,0,1,1,0,2,0,0,0,1
Total Quebec,"43,315","44,681","45,200","45,217","49,488","53,983","51,745","55,065","51,986","50,294"
Ontario,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"35,034","38,351","35,540","33,807","33,136","29,343","27,374","31,973","40,380","30,657"
Economic immigrants,"79,559","62,616","53,685","59,117","54,831","69,497","51,404","49,172","47,605","50,888"
Refugees,"21,892","18,704","15,516","11,858","12,653","13,914","15,921","12,592","12,697","11,468"
Other immigrants,"4,038","6,218","6,575","6,093","6,237","5,352","4,758","5,411","2,870","2,801"
Category not stated,2,2,0,1,1,4,3,5,0,0
Total Ontario,"140,525","125,891","111,316","110,876","106,858","118,110","99,460","99,153","103,552","95,814"
Manitoba,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"1,192","1,333","1,322","1,385","1,359","1,377","1,400","1,739","1,962","1,831"
Economic immigrants,"5,724","7,376","8,328","8,694","10,905","13,276","13,151","10,337","9,602","12,850"
Refugees,"1,094","1,238","1,170",972,"1,098","1,032","1,303","1,140","1,460","1,495"
Other immigrants,86,101,134,167,159,123,108,96,79,47
Total Manitoba,"8,096","10,048","10,954","11,218","13,521","15,808","15,962","13,312","13,103","16,223"
Saskatchewan,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,456,477,514,552,628,726,689,827,"1,232","1,233"
Economic immigrants,"1,018","1,582","2,346","3,665","5,538","6,243","7,658","9,736","8,812","9,889"
Refugees,614,626,617,552,646,574,547,549,590,660
Other immigrants,31,39,39,66,78,72,61,67,46,41
Total Saskatchewan,"2,119","2,724","3,516","4,835","6,890","7,615","8,955","11,179","10,680","11,823"
Alberta,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"5,673","6,679","6,790","7,135","7,599","7,372","6,845","8,436","10,630","9,284"
Economic immigrants,"11,130","11,219","11,275","14,503","16,532","22,404","20,757","24,571","22,640","29,591"
Refugees,"2,247","2,334","2,216","1,845","2,237","2,205","2,638","2,250","2,750","2,722"
Other immigrants,355,484,579,718,649,669,721,839,619,933
Total Alberta,"19,405","20,716","20,860","24,201","27,017","32,650","30,961","36,096","36,639","42,530"
British Columbia,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"11,726","13,460","12,613","12,424","12,613","10,868","10,130","11,855","14,347","11,547"
Economic immigrants,"30,199","25,740","23,395","28,718","25,916","30,875","21,902","22,114","19,736","21,625"
Refugees,"2,159","1,891","1,883","1,533","1,634","1,667","1,810","1,438","1,752","1,528"
Other immigrants,686,993,"1,070","1,317","1,276",776,944,835,377,470
Category not stated,0,0,0,0,0,1,0,0,0,0
Total British Columbia,"44,770","42,084","38,961","43,992","41,439","44,187","34,786","36,242","36,212","35,170"
Territories**,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,103,76,83,91,88,89,76,94,103,110
Economic immigrants,51,90,85,177,179,396,258,349,355,376
Refugees,4,3,9,6,2,2,4,6,11,6
Other immigrants,3,6,13,13,22,19,8,16,8,3
Total Territories**,161,175,190,287,291,506,346,465,477,495
