items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by language ability (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,50.7,52.9,53.7,56.6,56.7,57.1,58.1,56,52.2,58.6
French,4.6,5,5.4,5.1,5.4,6,6.6,6.5,5.9,5.3
Both French and English,8.8,9,10.2,10,11.1,10.3,10.4,10,8.5,8.7
Neither,35.9,33.1,30.7,28.3,26.8,26.6,24.8,27.5,33.4,27.5
Language ability not stated,0,0,0,0,0,0,0,0,0,0
Province or territory not stated,0,0,0,0,0,0,0,0,0,0
Total by language?ability,100,100,100,100,100,100,100,100,100,100
Nova Scotia (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,67.4,68.2,70.4,73.7,75.1,75.6,72.5,70.8,70.9,72.8
French,0.7,0.9,0.8,1,0.9,0.7,1.2,0.6,0.7,0.7
Both French and English,10,6.3,5.5,7.6,5.4,5.8,6.2,4.9,4.7,3.6
Neither,21.9,24.7,23.3,17.7,18.5,17.9,20.1,23.7,23.6,22.9
Total Nova Scotia?,100,100,100,100,100,100,100,100,100,100
New Brunswick (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,55.4,61.6,57.9,59.2,55.7,54.8,59,62.8,62,66.4
French,5.3,3.5,3.9,4.8,4.2,3.1,5.5,5,4.2,3.2
Both French and English,13,6.7,7.9,7.1,10.4,7.9,8.8,6.5,6.8,5.7
Neither,26.3,28.2,30.4,28.9,29.7,34.3,26.6,25.7,26.9,24.6
Total New Brunswick?,100,100,100,100,100,100,100,100,100,100
Other Atlantic provinces (percentage distribution)*,,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
English,55.5,56.7,47.1,45.8,40.8,33.4,43.8,55.7,68.8,66.4
French,1.2,1,0.2,0.3,0.5,0.3,0.7,0.6,1.6,0.5
Both French and English,4,2.8,2.1,2.8,2.4,1.5,2.4,3.3,2.6,1.8
Neither,39.3,39.5,50.6,51,56.2,64.9,53,40.4,27,31.3
Total Other Atlantic provinces*,100,100,100,100,100,100,100,100,100,100
Quebec (percentage distribution),,,,,,,,,,
Language ability,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
