items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by source area,,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,17.6,19.5,19.8,20,21.8,23.1,23.3,21.9,24,23.9
Asia and Pacific,54,51.8,49.1,49.6,48.6,50.4,50.3,51.9,51,51.4
Europe and the United Kingdom,15.5,14.7,15.8,15.2,15.2,13.1,11.9,12.4,11.9,11.6
United States,3.2,3.8,4,4.1,3.6,2.9,3.1,3.1,3.3,3.3
South and Central America,9.4,9.8,11,10.7,10.7,10.3,11.2,10.5,9.6,9.6
Source area not stated,0.3,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.3
Province or territory not stated,0,0,0,0,0,0,0,0,0,0
Total by source area,100,100,100,100,100,100,100,100,100,100
Nova Scotia (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,34.4,29.5,29.6,32,32.6,29.5,26.8,25.4,26.8,27.9
Asia and Pacific,30.5,36.2,37.3,28.7,26.1,29.3,39,38.9,41.5,42.9
Europe and the United Kingdom,20.9,19.4,21.7,22.4,27.3,28.8,24.2,23.4,19.3,15.8
United States,8.7,9.3,8.2,10.9,8.7,6.3,6.1,7.8,6.2,5.7
South and Central America,4.6,4.9,3.2,5.5,4.7,5.3,3.8,4.2,5.8,7.4
Source area not stated,0.9,0.7,0.1,0.4,0.7,0.8,0.1,0.3,0.4,0.3
Total Nova Scotia?,100,100,100,100,100,100,100,100,100,100
New Brunswick (percentage distribution),,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,21.2,17.1,16.4,14.9,19.5,16.9,17.8,28.6,23.3,18.8
Asia and Pacific,46.3,53.6,51,54.6,50.5,54,49.4,47.6,48.1,62.7
Europe and the United Kingdom,17.3,15.8,19.8,16.6,17.8,20.7,22.5,16.3,19.2,12.5
United States,8.7,7.4,7.4,7.1,6.4,3.8,4.9,3.6,5.3,3.1
South and Central America,6,5.3,5.2,6.3,5.6,4.4,5.2,3.9,4,2.5
