items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by source area,,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,"46,082","48,975","46,889","49,504","55,035","64,780","57,935","56,438","62,229","62,155"
Asia and Pacific,"141,481","130,436","116,355","122,721","122,519","141,441","125,115","133,850","132,133","133,764"
Europe and the United Kingdom,"40,626","37,005","37,310","37,610","38,210","36,801","29,588","32,035","30,712","30,176"
United States,"8,394","9,609","9,456","10,181","8,995","8,142","7,676","7,891","8,501","8,495"
South and Central America,"24,749","24,676","26,011","26,551","26,869","28,818","27,849","27,171","24,948","24,946"
Source area not stated,906,923,680,626,542,703,570,501,497,844
Province or territory not stated,4,16,52,52,0,2,14,17,3,26
Total by source area,"262,242","251,640","236,753","247,244","252,170","280,687","248,747","257,903","259,023","260,404"
Nova Scotia,,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,663,763,746,848,790,709,572,596,677,746
Asia and Pacific,589,936,941,762,633,706,833,912,"1,050","1,145"
Europe and the United Kingdom,404,502,547,595,662,694,518,547,488,421
United States,167,240,206,290,210,151,131,183,157,151
South and Central America,89,126,81,146,113,127,82,98,147,198
Source area not stated,17,19,2,10,16,19,2,6,10,9
Total Nova Scotia?,"1,929","2,586","2,523","2,651","2,424","2,406","2,138","2,342","2,529","2,670"
New Brunswick,,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Africa and the Middle East,231,281,270,277,373,359,351,632,470,534
Asia and Pacific,505,883,838,"1,014",967,"1,148",972,"1,053",971,"1,780"
Europe and the United Kingdom,189,260,326,309,341,440,443,360,387,356
United States,95,122,122,132,123,81,97,79,106,88
South and Central America,65,87,85,117,108,93,103,86,80,70
Source area not stated,6,13,2,7,1,4,1,3,5,9
Total New Brunswick,"1,091","1,646","1,643","1,856","1,913","2,125","1,967","2,213","2,019","2,837"
Other Atlantic provincesFootnote*,,,,,,,,,,
Source area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
