items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Total by Province or Territory (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Newfoundland and Labrador?,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Prince Edward Island,0.1,0.2,0.4,0.6,0.7,0.9,0.7,0.4,0.4,0.6
Nova Scotia,0.7,1,1.1,1.1,1,0.9,0.9,0.9,1,1
New Brunswick,0.4,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.8,1.1
Quebec,16.5,17.8,19.1,18.3,19.6,19.2,20.8,21.4,20.1,19.3
Ontario,53.6,50,47,44.8,42.4,42.1,40,38.4,40,36.8
Manitoba,3.1,4,4.6,4.5,5.4,5.6,6.4,5.2,5.1,6.2
Saskatchewan,0.8,1.1,1.5,2,2.7,2.7,3.6,4.3,4.1,4.5
Alberta,7.4,8.2,8.8,9.8,10.7,11.6,12.4,14,14.1,16.3
British Columbia,17.1,16.7,16.5,17.8,16.4,15.7,14,14.1,14,13.5
Yukon,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1
Northwest Territories,0,0,0,0.1,0,0,0,0.1,0.1,0.1
Nunavut,0,0,0,0,0,0,0,0,0,0
Province or territory not stated,0,0,0,0,0,0,0,0,0,0
Total Province or Territory,100,100,100,100,100,100,100,100,100,100
Newfoundland and Labrador (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
St. John's,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Other Newfoundland and Labrador,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Total Newfoundland and Labrador,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3
Prince Edward Island (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Charlottetown,0.1,0.2,0.4,0.6,0.6,0.9,0.7,0.4,0.3,0.6
Other Prince Edward Island,0,0,0,0,0,0,0,0,0.1,0.1
Total Prince Edward Island,0.1,0.2,0.4,0.6,0.7,0.9,0.7,0.4,0.4,0.6
Nova Scotia (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Halifax,0.6,0.8,0.9,0.8,0.7,0.6,0.6,0.7,0.8,0.8
Other Nova Scotia,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Total Nova Scotia,0.7,1,1.1,1.1,1,0.9,0.9,0.9,1,1
New Brunswick (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Moncton,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3
Saint John,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3
Fredericton,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.4
Other New Brunswick,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.1
Total New Brunswick,0.4,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.8,1.1
Quebec (percentage distribution),,,,,,,,,,
Urban Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Quebec,0.8,0.7,0.9,0.8,1,1,0.9,1.1,1.1,1
Sherbrooke,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3
