items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Less than 15 years of age (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,12.9,14.1,14.7,12.3,11.4,8.9,9.8,9.7,11.6,11.7
Economic immigrants,70.4,67.7,67.5,73.4,74.7,79.3,75.5,76.9,74.6,74.1
Refugees,15,15.8,15.2,12,11.9,10.4,13.2,11.5,12,12.3
Other immigrants,1.6,2.4,2.6,2.3,1.9,1.3,1.4,1.8,1.8,1.9
Category not stated,0,0,0,0,0,0,0,0,0,0
Gender not stated,0,0,0,0,0,0,0,0,0,0
Total less than 15 years of age,100,100,100,100,100,100,100,100,100,100
0 to 4 years of age (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,18,19.6,21.1,17,16.2,11.7,12.6,12.9,15.9,16.6
Economic immigrants,70.9,68.8,67.1,73,73.8,80,77.7,77.8,74.9,73.3
Refugees,10,10.3,10.6,8.6,8.9,7.6,8.8,7.6,7.9,8.7
Other immigrants,1.1,1.4,1.2,1.5,1.1,0.6,1,1.6,1.3,1.4
Total 0 to 4 years of age,100,100,100,100,100,100,100,100,100,100
5 to 9 years of age (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,9.3,9.8,9.8,8.4,7.6,6.2,7.1,6.7,7.8,8
Economic immigrants,72.9,70.2,70.9,76.4,78,81.6,77.1,79.1,77.4,77.2
Refugees,16.4,17.6,16.6,12.7,12.6,11,14.5,12.8,13.2,13
Other immigrants,1.5,2.5,2.7,2.5,1.8,1.2,1.2,1.5,1.6,1.8
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 5 to 9 years of age,100,100,100,100,100,100,100,100,100,100
10 to 14 years of age (percentage distribution),,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,11.9,13.3,13.3,11.6,10.8,9,9.9,9.8,11.3,10.8
Economic immigrants,67.3,64.2,64.4,71,72.2,76.1,71.5,73.5,71.2,71.5
Refugees,18.5,19.3,18.4,14.7,14.1,12.7,16.4,14.3,15.1,15.3
Other immigrants,2.3,3.2,4,2.8,2.9,2.2,2.2,2.4,2.5,2.5
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 10 to 14 years of age,100,100,100,100,100,100,100,100,100,100
Males less than 15 years of age (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,11.4,13.2,13.5,11.8,11.1,8.8,9.7,9.7,11.5,11.7
Economic immigrants,72,68.5,68.5,74.2,74.9,79.5,76.1,77.3,75,74
Refugees,15.1,15.9,15.4,11.9,12,10.4,12.8,11.1,11.8,12.3
Other immigrants,1.5,2.4,2.6,2.1,1.9,1.3,1.4,1.8,1.7,1.9
Category not stated,0,0,0,0,0,0,0,0,0,0
Total males less than 15 years of age,100,100,100,100,100,100,100,100,100,100
0 to 4 years of age (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,13.6,17.4,18.3,16.2,15.7,11.4,12.5,13,15.7,17
Economic immigrants,75.1,70.4,69.5,73.9,74.1,80.4,78.4,77.8,74.8,73
Refugees,10.2,10.7,11.1,8.4,9.1,7.6,8.1,7.6,8.1,8.6
Other immigrants,1.1,1.5,1.2,1.4,1.1,0.6,1,1.6,1.4,1.5
Total 0 to 4 years of age,100,100,100,100,100,100,100,100,100,100
5 to 9 years of age (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,9,9.7,9.4,8.3,7.5,6.1,6.9,6.9,7.7,7.7
Economic immigrants,73.3,70.4,71.6,76.8,78.3,81.6,77.5,79.6,77.8,76.9
Refugees,16.3,17.5,16.6,12.6,12.6,10.9,14.3,12.1,13.1,13.4
Other immigrants,1.3,2.5,2.4,2.4,1.6,1.3,1.2,1.4,1.4,1.9
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 5 to 9 years of age,100,100,100,100,100,100,100,100,100,100
10 to 14 years of age (percentage distribution),,,,,,,,,,
Category-Males,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,12,13,13.1,11,10.6,9,9.8,9.4,11.5,10.9
Economic immigrants,67.7,65,64.5,71.9,72.2,76.4,72.1,74.4,72,71.7
Refugees,18.2,19,18.2,14.5,14.2,12.5,16.1,13.7,14.1,15
Other immigrants,2.1,3.1,4.2,2.6,3,2.1,2,2.5,2.4,2.4
Total 10 to 14 years of age,100,100,100,100,100,100,100,100,100,100
Females less than 15 years of age (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,14.5,15.1,15.9,12.8,11.7,9.1,9.9,9.8,11.6,11.6
Economic immigrants,68.8,66.8,66.4,72.6,74.5,79.1,74.9,76.5,74.2,74.3
Refugees,15,15.7,15,12.2,11.8,10.5,13.7,11.9,12.3,12.3
Other immigrants,1.7,2.4,2.6,2.4,2,1.3,1.5,1.8,1.9,1.8
Category not stated,0,0,0,0,0,0,0,0,0,0
Total females less than 15 years of age,100,100,100,100,100,100,100,100,100,100
0 to 4 years of age (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,22.3,21.9,23.9,17.7,16.7,12.1,12.6,12.7,16.2,16.2
Economic immigrants,66.8,67,64.8,72,73.4,79.7,76.9,77.9,74.9,73.6
Refugees,9.8,9.8,10.1,8.8,8.8,7.6,9.6,7.7,7.7,8.9
Other immigrants,1.1,1.3,1.2,1.5,1,0.6,0.9,1.7,1.3,1.3
Total 0 to 4 years of age,100,100,100,100,100,100,100,100,100,100
5 to 9 years of age (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,9.6,9.9,10.2,8.5,7.7,6.4,7.2,6.5,7.9,8.2
Economic immigrants,72.3,70,70.2,75.9,77.7,81.6,76.7,78.5,77,77.5
Refugees,16.5,17.6,16.6,12.9,12.5,11,14.8,13.4,13.3,12.6
Other immigrants,1.6,2.4,3,2.7,2,1.1,1.3,1.5,1.8,1.6
Total 5 to 9 years of age,100,100,100,100,100,100,100,100,100,100
10 to 14 years of age (percentage distribution),,,,,,,,,,
Category-Females,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,11.7,13.7,13.4,12.3,11,9,10,10.3,11.1,10.7
Economic immigrants,67,63.2,64.2,69.9,72.2,75.8,70.9,72.6,70.3,71.2
Refugees,18.8,19.6,18.6,14.8,14,13,16.8,14.9,16.1,15.6
Other immigrants,2.5,3.4,3.8,3,2.8,2.2,2.4,2.3,2.6,2.5
Category not stated,0,0,0,0,0,0,0,0,0,0
Total 10 to 14 years of age,100,100,100,100,100,100,100,100,100,100
