items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Less than 15 years of age,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"7,441","7,238","7,089","6,162","5,732","5,428","5,186","5,082","5,598","5,663"
Economic immigrants,"40,551","34,745","32,583","36,936","37,580","48,121","39,933","40,109","36,106","35,976"
Refugees,"8,665","8,118","7,340","6,056","5,999","6,322","6,980","6,001","5,807","5,972"
Other immigrants,932,"1,217","1,267","1,135",980,789,765,947,862,908
Category not stated,1,1,0,1,1,0,0,0,0,0
Gender not stated,0,1,0,0,1,0,0,1,0,2
Total less than 15 years of age,"57,590","51,320","48,279","50,290","50,293","60,660","52,864","52,140","48,373","48,521"
0 to 4 years of age,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"3,297","3,213","3,359","2,768","2,588","2,370","2,232","2,256","2,573","2,641"
Economic immigrants,"12,997","11,280","10,689","11,908","11,796","16,146","13,809","13,634","12,105","11,689"
Refugees,"1,830","1,689","1,687","1,403","1,429","1,542","1,562","1,338","1,275","1,393"
Other immigrants,200,223,188,238,173,116,169,287,216,221
Total 0 to 4 years of age,"18,324","16,405","15,923","16,317","15,986","20,174","17,772","17,515","16,169","15,944"
5 to 9 years of age,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Family class,"1,877","1,714","1,588","1,431","1,324","1,324","1,303","1,233","1,351","1,393"
Economic immigrants,"14,719","12,336","11,488","13,031","13,586","17,292","14,171","14,538","13,448","13,506"
Refugees,"3,308","3,084","2,684","2,174","2,187","2,325","2,671","2,346","2,297","2,276"
Other immigrants,299,434,436,428,314,254,228,271,277,314
Category not stated,1,1,0,0,1,0,0,0,0,0
Total 5 to 9 years of age,"20,204","17,569","16,196","17,064","17,412","21,195","18,373","18,388","17,373","17,489"
10 to 14 years of age,,,,,,,,,,
Category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
