items,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10
Skilled Workers 15 Years of Age or Older Intending to Work,,,,,,,,,,
Occupational skill level,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0 - Managerial,"4,477","4,160","4,430","5,659","5,507","8,090","6,037","4,965","4,756","2,945"
A - Professionals,"33,469","26,564","23,526","23,555","20,906","25,687","19,906","21,300","19,380","15,805"
B - Skilled and Technical,"11,410","10,263","10,528","11,160","10,382","10,299","7,219","8,299","6,731","5,861"
C - Intermediate and Clerical,"1,389","1,365","1,614","1,825","2,094","2,404","1,786","1,511","1,250",922
D - Elemental and Labourers,19,29,17,32,37,44,44,48,31,15
Skill level not stated*,"1,394","1,672","1,025","1,033","1,696","2,157","1,659","2,105","1,811","3,152"
Gender not stated,0,0,0,0,0,0,0,0,0,0
Total,"52,158","44,053","41,140","43,264","40,622","48,681","36,651","38,228","33,959","28,700"
Male Skilled Workers 15 Years of Age or Older Intending to Work,,,,,,,,,,
Occupational skill level,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0 - Managerial,"3,355","3,139","3,317","4,201","4,086","6,128","4,553","3,646","3,614","2,230"
A - Professionals,"24,131","18,838","16,156","15,593","13,347","15,419","11,134","11,924","10,875","9,014"
B - Skilled and Technical,"7,864","7,110","7,033","7,086","6,583","6,702","4,811","5,366","4,520","3,790"
C - Intermediate and Clerical,786,812,864,987,--,"1,364",959,808,693,512
D - Elemental and Labourers,13,18,12,20,--,26,23,24,12,7
Skill level not stated*,856,"1,069",592,600,999,"1,348",913,"1,070",999,"1,887"
Total Males,"37,005","30,986","27,974","28,487","26,230","30,987","22,393","22,838","20,713","17,440"
Female Skilled Workers 15 Years of Age or Older Intending to Work,,,,,,,,,,
Occupational skill level,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0 - Managerial,"1,122","1,021","1,113","1,458","1,421","1,962","1,484","1,319","1,142",715
A - Professionals,"9,338","7,726","7,370","7,962","7,559","10,268","8,772","9,376","8,505","6,791"
B - Skilled and Technical,"3,546","3,153","3,495","4,074","3,799","3,597","2,408","2,933","2,211","2,071"
C - Intermediate and Clerical,603,553,750,838,--,"1,040",827,703,557,410
D - Elemental and Labourers,6,11,5,12,--,18,21,24,19,8
Skill level not stated*,538,603,433,433,697,809,746,"1,035",812,"1,265"
Total Females,"15,153","13,067","13,166","14,777","14,392","17,694","14,258","15,390","13,246","11,260"
Skilled Workers 15 Years of Age or Older Intending to Work (percentage distribution),,,,,,,,,,
Occupational skill level,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0 - Managerial,8.6,9.4,10.8,13.1,13.6,16.6,16.5,13,14,10.3
A - Professionals,64.2,60.3,57.2,54.4,51.5,52.8,54.3,55.7,57.1,55.1
B - Skilled and Technical,21.9,23.3,25.6,25.8,25.6,21.2,19.7,21.7,19.8,20.4
C - Intermediate and Clerical,2.7,3.1,3.9,4.2,5.2,4.9,4.9,4,3.7,3.2
D - Elemental and Labourers,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Skill level not stated*,2.7,3.8,2.5,2.4,4.2,4.4,4.5,5.5,5.3,11
Gender not stated,0,0,0,0,0,0,0,0,0,0
Total,100,100,100,100,100,100,100,100,100,100
Male Skilled Workers 15 Years of Age or Older Intending to Work (percentage distribution),,,,,,,,,,
Occupational skill level,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0 - Managerial,9.1,10.1,11.9,14.7,15.6,19.8,20.3,16,17.4,12.8
A - Professionals,65.2,60.8,57.8,54.7,50.9,49.8,49.7,52.2,52.5,51.7
B - Skilled and Technical,21.3,22.9,25.1,24.9,25.1,21.6,21.5,23.5,21.8,21.7
C - Intermediate and Clerical,2.1,2.6,3.1,3.5,--,4.4,4.3,3.5,3.3,2.9
D - Elemental and Labourers,0,0.1,0,0.1,--,0.1,0.1,0.1,0.1,0
Skill level not stated*,2.3,3.4,2.1,2.1,3.8,4.4,4.1,4.7,4.8,10.8
Total Males,100,100,100,100,100,100,100,100,100,100
Female Skilled Workers 15 Years of Age or Older Intending to Work (percentage distribution),,,,,,,,,,
Occupational skill level,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
0 - Managerial,7.4,7.8,8.5,9.9,9.9,11.1,10.4,8.6,8.6,6.3
A - Professionals,61.6,59.1,56,53.9,52.5,58,61.5,60.9,64.2,60.3
B - Skilled and Technical,23.4,24.1,26.5,27.6,26.4,20.3,16.9,19.1,16.7,18.4
C - Intermediate and Clerical,4,4.2,5.7,5.7,--,5.9,5.8,4.6,4.2,3.6
D - Elemental and Labourers,0,0.1,0,0.1,--,0.1,0.1,0.2,0.1,0.1
Skill level not stated*,3.6,4.6,3.3,2.9,4.8,4.6,5.2,6.7,6.1,11.2
Total Females,100,100,100,100,100,100,100,100,100,100
