rccn,rc,statecn,state,rcid,topicid
美国 168 投资移民区域中心,"168 America Regional Center, LLC",加利福尼亚,California,ID1235250868,13848
1900海湾街合作伙伴区域中心,1900 Gulf Street Partners Regional Center,堪萨斯,Kansas,ID1101850148,13849
1900海湾街合作伙伴区域中心,1900 Gulf Street Partners Regional Center,密苏里,Missouri,ID1101850148,13850
820工业环合伙区域中心,820 Industrial Loop Partners Regional Center,德克萨斯,Texas,ID1101850147,13851
AAA加州区域中心,AAA California Regional Center,加利福尼亚,California,ID1031910073,13852
AAA佛罗里达州高级生活区域中心,"AAA Florida Senior Living Regional Center, LLC",佛罗里达,Florida,ID1307751110,13853
Abasto区域中心,Abasto Regional Center,德克萨斯,Texas,ID1318251169,13854
移民美国区域中心,"Aboard America Regional Center, LLC",加利福尼亚,California,ID1226250764,13855
ACIC管理公司区域中心,"ACIC Management, Inc. Regional Center",华盛顿,Washington,ID1103150153,13856
ACS区域中心,ACS Regional Center,加利福尼亚,California,ID1031910079,13857
科罗拉多州区域中心,"ADC Colorado Regional Center, LLC ADC",科罗拉多,Colorado,ID1419651806,13858
纽约阿迪朗达克区域中心,"Adirondack Regional Center of New York, LLC",纽约,New York,ID1411451740,13859
金钟加州区域中心,Admiralty California Regional Center LLC,加利福尼亚,California,ID1033650026,13860
金钟内华达区域中心,"Admiralty Sierra Regional Center, LLC",加利福尼亚,California,ID1327551228,13861
美国优势加州地区中心,"Advantage America California Regional Center, LLC",加利福尼亚,California,ID1329751246,13862
美国优势夏威夷区域中心,"Advantage America Hawaii Regional Center, LLC",夏威夷,Hawaii,ID1502352568,13863
美国优势内华达州区域中心,Advantage America Nevada Regional Center LLC,内华达,Nevada,ID1419551804,13864
美国优势纽约区域中心,"Advantage America New York Regional Center, LLC",纽约,New York,ID1034750107,13865
航空航天港国际集团（ASPI集团）区域中心,Aero Space Port International Group (ASPI Group) Regional Center,华盛顿,Washington,ID1031910123,13866
航空航天港国际集团（ASPI集团）区域中心,Aero Space Port International Group (ASPI Group) Regional Center,新泽西,New York,ID1131450350,13867
航空航天港国际集团（ASPI集团）区域中心,Aero Space Port International Group (ASPI Group) Regional Center,纽约,New York,ID1131450350,13868
航空航天港国际集团（ASPI集团）区域中心,Aero Space Port International Group (ASPI Group) Regional Center,宾夕法尼亚,Pennsylvania,ID1131450350,13869
加利福尼亚区域中心,"AGC California Regional Center, LLC",加利福尼亚,California,ID1504952599,13870
AGC纽约区域中心,"AGC New York Regional Center, LLC",康涅狄格,Connecticut,ID1435352156,13871
AGC纽约区域中心,"AGC New York Regional Center, LLC",新泽西,New Jersey,ID1435352156,13872
AGC纽约区域中心,"AGC New York Regional Center, LLC",宾夕法尼亚,Pennsylvania,ID1435352156,13873
AGC纽约区域中心,"AGC New York Regional Center, LLC",纽约,New York,ID1435352156,13874
阿拉巴马州EB-5区域中心,"Alabama EB-5 Regional Center, LLC",阿拉巴马,Alabama,ID1105350165,13875
阿拉斯加金矿业区域中心,"Alaska Gold & Mining Regional Center, LLC",阿拉斯加,Alaska,ID1219850705,13876
