anzsco4,bbsid,nameen,namecn,ceiling,lastresutl,result,change
1331,6546,Construction Managers,建筑业经理,5640,108,0,-108
1332,6547,Engineering Managers,工程经理,1014,28,0,-28
1335,6550,Production Managers,生产经理,3582,8,0,-8
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,18,0,-18
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1410,45,0,-45
2211,7058,Accountants,会计师,2525,2525,0,-2525
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers",审计，公司秘书及企业司库,1000,1000,0,-1000
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,81,0,-81
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1000,40,0,-40
2312,7079,Marine Transport Professionals,验船师,1000,54,0,-54
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1650,300,0,-300
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,62,0,-62
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,563,0,-563
2332,7087,Civil Engineering Professionals,土木工程专业,2970,1273,0,-1273
2333,7088,Electrical Engineers,电气工程师,1230,657,0,-657
2334,7089,Electronics Engineers,电子工程师,1000,932,0,-932
2335,7090,"Industrial, Mechanical and Production Engineers",工业，机械和生产工程师,1788,1788,0,-1788
2339,7092,Other Engineering Professionals,其他工程师,1000,1000,0,-1000
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,159,0,-159
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1362,154,0,-154
2347,7099,Veterinarians,兽医,1000,85,0,-85
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,33,0,-33
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,1980,201,0,-201
2414,7103,Secondary School Teachers,中学教师,8352,541,0,-541
2415,7104,Special Education Teachers,特殊教育教师,1158,24,0,-24
2512,7111,Medical Imaging Professionals,医学影像专业人员,1092,110,0,-110
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,35,0,-35
