anzsco4,bbsid,nameen,namecn,ceiling,lastresult,result,change
1213,947,Livestock Farmers,牲畜农场主,4196,0,2018-05-24,0,0
1331,6546,Construction Managers,建筑业经理,5400,44,2018-05-24,45,1
1332,6547,Engineering Managers,工程经理,1155,14,2018-05-24,14,0
1341,6552,Child Care Centre Managers,幼儿中心经理,1000,8,2018-05-24,8,0
1342,6553,Health and Welfare Services Managers,卫生和福利服务经理,1374,10,2018-05-24,11,1
2211,7058,Accountants*,会计师,4785,2723,2018-05-24,2768,45
2212,7059,"Auditors, Company Secretaries and Corporate Treasurers*",审计，公司秘书及企业司库,1327,962,2018-05-24,974,12
2241,7066,"Actuaries, Mathematicians and Statisticians",精算师，数学家和统计学家,1000,38,2018-05-24,40,2
2245,7070,Land Economists and Valuers,土地经济学家和估价师,1000,14,2018-05-24,15,1
2247,7072,Management consultant,管理顾问,3285,25,2018-05-24,30,5
2321,7080,Architects and Landscape Architects,建筑师和景观设计师,1474,118,2018-05-24,124,6
2322,7081,Cartographers and Surveyors,制图师和测量师,1000,30,2018-05-24,32,2
2331,7086,Chemical and Materials Engineers,化学工程与材料工程师,1000,181,2018-05-24,184,3
2332,7087,Civil Engineering Professionals,土木工程专业,3296,415,2018-05-24,423,8
2333,7088,Electrical Engineers,电气工程师,1042,209,2018-05-24,214,5
2334,7089,Electronics Engineers*,电子工程师,1000,477,2018-05-24,485,8
2335,7090,"Industrial, Mechanical and Production Engineers*",工业，机械和生产工程师,2178,1133,2018-05-24,1155,22
2339,7092,Other Engineering Professionals*,其他工程师,1000,615,2018-05-24,624,9
2341,7093,Agricultural and Forestry Scientists,农林科学家,1000,70,2018-05-24,72,2
2346,7098,Medical Laboratory Scientists,医学实验室科学家,1487,52,2018-05-24,52,0
2347,7099,Veterinarians,兽医,1000,26,2018-05-24,28,2
2349,7100,Other Natural and Physical Science Professionals,其他自然和物理科学专业人员,1000,18,2018-05-24,18,0
2411,7101,Early Childhood (Pre-primary School) Teachers,幼儿教育（学前教育）教师,2639,57,2018-05-24,61,4
2414,7103,Secondary School Teachers,中学教师,7910,192,2018-05-24,197,5
2415,7104,Special Education Teachers,特殊教育教师,1000,7,2018-05-24,7,0
2512,7111,Medical Imaging Professionals,医学影像专业人员,1113,27,2018-05-24,28,1
2514,7113,Optometrists and Orthoptists,验光师和视觉矫正师,1000,11,2018-05-24,11,0
2519,7115,Other Health Diagnostic and Promotion Professionals,义肢矫形师,1000,1,2018-05-24,1,0
2521,7116,Chiropractors and Osteopaths,脊医及整骨,1000,10,2018-05-24,10,0
2524,7119,Occupational Therapists,职业治疗师,1109,30,2018-05-24,32,2
2525,7120,Physiotherapists,物理治疗师,1464,47,2018-05-24,50,3
2526,7121,Podiatrists,足病医生,1000,5,2018-05-24,5,0
2527,7122,Speech Professionals and Audiologists,演讲专家和听力学家,1000,26,2018-05-24,27,1
2531,7123,General Practitioners and Resident Medical officers,全科执业,3495,155,2018-05-24,160,5
2533,7125,Internal Medicine Specialists,内科专家,1000,19,2018-05-24,23,4
