ACT,NSW,NT,Qld,SA,Tas,Vic,WA,Total,updated
42,817,10,0,114,39,208,1,1231,2017-05
58,158,9,20,126,12,168,1,552,2017-04
101,901,52,149,299,71,524,31,2128,2017-03
34,420,15,74,141,46,234,17,981,2017-02
80,260,11,53,94,47,260,21,826,2017-01
51,176,14,70,107,18,205,19,660,2016-12
66,244,11,105,134,64,141,17,782,2016-11
28,420,12,127,154,27,202,20,990,2016-10
69,228,16,142,103,39,184,27,808,2016-09
63,67,25,193,110,48,321,19,846,2016-08
60,38,12,45,141,19,119,17,451,2016-07
652,3729,187,978,1523,430,2566,190,10255,飞出国
