anz,name
133111, 施工项目经理 / Construction Project Manager
133112, 项目构建师 / Project Builder
223311, 培训和开发专员 / Training and Development Professional
232111, 建筑师 / Architect
232112, 景观设计师 / Landscape Architect
233211, 土木工程师 / Civil Engineer
233212, 岩土工程师 / Geotechnical Engineer
233214, 结构工程师 / Structural Engineer
233911, 航空工程师 / Aeronautical Engineer
233912, 农业工程师 / Agricultural Engineer
233913, 生物医学工程师 / Biomedical Engineer
233914, 工程技师 / Engineering Technologist
251911, 健康推广主任 / Health Promotion Officer
251999, 健康诊断和促进专业人员NEC / Health Diagnostic and Promotion Professionals nec
254411, 护士执业 / Nurse Practitioner
254418, 注册护士（医疗） / Registered Nurse (Medical)
254421, 注册护士（医疗实践） / Registered Nurse (Medical Practice)
254425, 注册护士（儿科） / Registered Nurse (Paediatrics)
254499, 注册护士NEC / Registered Nurses nec
261111, ICT业务分析师 / ICT Business Analyst
261112, 系统分析师 / Systems Analyst
261212, Web开发员 / Web Developer
261311, 分析程序员 / Analyst Programmer
261312, 开发程序员 / Developer Programmer
261313, 软件工程师 / Software Engineer
261314, 软件测试员 / Software Tester
261399, 其他软件和应用程序的程序员 / Software and Applications Programmers nec
263211, ICT 质量保证工程师 / ICT Quality Assurance Engineer
263212, 信息和通信技术支持工程师 / ICT Support Engineer
263213, ICT 系统测试工程师 / ICT Systems Test Engineer
263299, ICT 技术支持和测试工程师NEC / ICT Support and Test Engineers nec
312111, 建筑制图员 / Architectural Draftsperson
312112, 建筑副理 / Building Associate
312113, 建筑检查员 / Building Inspector
312115, 水暖督察 / Plumbing Inspector
312116, 调查或科学空间技师 / Surveying or Spatial Science Technician
312199, 建筑，建筑与测绘技术人员NEC / Architectural, Building and Surveying Technicians nec
312211, 土木工程制图员 / Civil Engineering Draftsperson
312212, 土木工程技术员 / Civil Engineering Technician
313111, 硬件技术员 / Hardware Technician
313112, ICT客户支持总监 / ICT Customer Support Officer
313113, 网络管理员 / Web Administrator
313199, ICT支持技术人员NEC / ICT Support Technicians nec
322313, 焊工（甲等） / Welder (First Class)
323214, 钣金工（甲等） / Metal Machinist (First Class)
351311, 厨师 / Chef
