anz,name
261111, ICT业务分析师 / ICT Business Analyst
261112, 系统分析师 / Systems Analyst
261212, Web开发员 / Web Developer
261311, 分析程序员 / Analyst Programmer
261312, 开发程序员 / Developer Programmer
261313, 软件工程师 / Software Engineer
261314, 软件测试员 / Software Tester
261399, 其他软件和应用程序的程序员 / Software and Applications Programmers nec
263211, ICT 质量保证工程师 / ICT Quality Assurance Engineer
263212, 信息和通信技术支持工程师 / ICT Support Engineer
263213, ICT 系统测试工程师 / ICT Systems Test Engineer
263299, ICT 技术支持和测试工程师NEC / ICT Support and Test Engineers nec
313111, 硬件技术员 / Hardware Technician
313112, ICT客户支持总监 / ICT Customer Support Officer
313113, 网络管理员 / Web Administrator
313199, ICT支持技术人员NEC / ICT Support Technicians nec
