Date,Number of Invitations,Stream,Minimum Score
"January 24, 2023",<5,Regional Pilot,129
"January 24, 2023",<5,Base,115
"December 13, 2022",<5,Regional Pilot,134
"December 13, 2022",<5,Base,116
"November 8, 2022",<5,Regional Pilot,114
"November 8, 2022",8,Base,120
"October 4, 2022",5,Base,116
"August 30, 2022",<5,Regional Pilot,129
"August 30, 2022",6,Base,116
"July 19, 2022",<5,Regional Pilot,111
"June 28, 2022",<5,Regional Pilot,110
"May 10, 2022",<5,Regional Pilot,109
"March 22, 2022",<5,Regional Pilot,117
