location,category,code,quota,first,second,invitations,candidates,spots,chances,sub_txt,sub_quota,sub_first,sub_second,sub_invitations,sub_candidates,sub_spots,sub_chances
Andorra,wh,an,25,"Week of January 9, 2023",NA,4,2,23,1,,,,,,,,
Australia,coop,au,Unlimited,"Week of January 9, 2023",NA,0,0,unlimited,1,,,,,,,,
Australia,wh,au,Unlimited,"Week of January 9, 2023",NA,"2,346",262,unlimited,1,,,,,,,,
Australia,yp,au,Unlimited,"Week of January 9, 2023",NA,40,3,unlimited,1,,,,,,,,
Austria,coop,at,20,"Week of January 9, 2023",NA,1,0,19,1,,,,,,,,
Austria,wh,at,100,"Week of January 9, 2023",NA,122,5,16,1,,,,,,,,
Austria,yp,at,60,"Week of January 9, 2023",NA,3,0,57,1,,,,,,,,
Belgium,wh,be,750,"Week of January 9, 2023",NA,504,35,388,1,,,,,,,,
Chile,coop,cl,5,"Week of February 6, 2023",NA,4,0,4,1,,,,,,,,
Chile,wh,cl,1475,"Week of February 6, 2023",NA,"1,420","5,655",649,5,,,,,,,,
Chile,yp,cl,270,"Week of February 6, 2023",NA,202,15,159,1,,,,,,,,
Costa Rica,coop,cr,5,"Week of January 9, 2023",NA,0,0,5,1,,,,,,,,
Costa Rica,wh,cr,80,"Week of January 9, 2023",NA,43,963,48,5,,,,,,,,
Costa Rica,yp,cr,15,"Week of January 9, 2023",NA,113,2,0,1,,,,,,,,
Croatia,coop,hr,5,"Week of January 9, 2023",NA,0,0,5,1,,,,,,,,
Croatia,wh,hr,275,"Week of January 9, 2023",NA,59,6,233,1,,,,,,,,
Croatia,yp,hr,20,"Week of January 9, 2023",NA,5,0,17,1,,,,,,,,
Czech Republic,coop,cz,5,"Week of January 9, 2023",NA,0,0,5,1,,,,,,,,
Czech Republic,wh,cz,"1,000","Week of January 9, 2023",NA,450,42,698,1,,,,,,,,
Czech Republic,yp,cz,145,"Week of January 9, 2023",NA,90,12,87,1,,,,,,,,
Denmark,wh,dk,350,"Week of January 9, 2023",NA,125,8,257,1,,,,,,,,
Estonia,coop,ee,5,"Week of January 9, 2023",NA,0,0,5,1,,,,,,,,
Estonia,wh,ee,110,"Week of January 9, 2023",NA,52,3,79,1,,,,,,,,
Estonia,yp,ee,10,"Week of January 9, 2023",NA,2,1,9,1,,,,,,,,
France,coop,fr,"4,250","Week of January 9, 2023",NA,"1,789",144,"2,915",1,,,,,,,,
France,wh,fr,"7,000","Week of January 9, 2023",NA,"11,463","5,257",0,2,,,,,,,,
France,yp,fr,"2,200","Week of January 9, 2023",NA,"1,122",96,"1,516",1,Volontariat international en entreprise (VIE),550,"Week of January 9, 2023",NA,121,52,438,True
Germany,coop,de,160,"Week of February 6, 2023",NA,36,5,138,1,,,,,,,,
Germany,wh,de,"4,490","Week of February 6, 2023",NA,"1,706",261,"3,506",1,,,,,,,,
Germany,yp,de,350,"Week of February 6, 2023",NA,115,17,277,1,,,,,,,,
Greece,coop,gr,10,"Week of January 9, 2023",NA,0,0,10,1,,,,,,,,
Greece,wh,gr,180,"Week of January 9, 2023",NA,175,12,59,1,,,,,,,,
